timestamp_ms,voltage_V,current_mA,power_mW,marker
2,3.340,25.60,85.00,0
12,3.340,25.80,87.00,0
22,3.344,25.70,85.00,0
32,3.344,25.60,85.00,0
42,3.344,25.80,87.00,0
52,3.344,25.60,85.00,0
62,3.340,25.80,85.00,0
72,3.344,25.70,85.00,0
82,3.340,25.60,85.00,0
92,3.340,25.70,87.00,0
102,3.344,25.60,85.00,0
112,3.344,25.70,85.00,0
122,3.344,25.80,87.00,0
132,3.344,25.60,85.00,0
142,3.344,25.80,87.00,0
152,3.344,25.70,85.00,0
162,3.344,25.70,85.00,0
172,3.344,25.70,85.00,0
182,3.344,25.70,85.00,0
192,3.340,25.80,87.00,0
202,3.344,25.70,85.00,0
212,3.344,25.60,85.00,0
222,3.344,25.80,87.00,0
232,3.344,25.60,85.00,0
242,3.340,25.80,87.00,0
252,3.344,25.70,85.00,0
262,3.344,25.70,85.00,0
272,3.344,25.80,87.00,0
282,3.344,25.70,85.00,0
292,3.344,25.70,85.00,0
302,3.344,25.80,87.00,0
312,3.344,25.60,85.00,0
322,3.344,25.80,87.00,0
332,3.344,25.60,85.00,0
342,3.344,25.80,85.00,0
352,3.344,25.80,87.00,0
362,3.344,25.60,85.00,0
372,3.344,25.70,85.00,0
382,3.344,25.70,85.00,0
392,3.344,25.60,85.00,0
402,3.344,25.60,85.00,0
412,3.344,25.70,85.00,0
422,3.344,25.70,87.00,0
432,3.344,25.70,85.00,0
442,3.340,25.70,85.00,0
452,3.344,25.70,85.00,0
462,3.344,25.60,85.00,0
472,3.344,25.80,85.00,0
482,3.344,25.70,85.00,0
492,3.344,25.70,85.00,0
502,3.344,25.70,85.00,0
512,3.344,25.60,85.00,0
522,3.344,25.70,85.00,0
532,3.344,25.70,85.00,0
542,3.344,25.70,85.00,0
552,3.344,25.70,85.00,0
562,3.344,25.60,85.00,0
572,3.348,25.70,85.00,0
582,3.344,25.70,87.00,0
592,3.344,25.70,85.00,0
602,3.344,25.80,87.00,0
614,3.340,25.80,87.00,0
624,3.344,25.70,85.00,0
634,3.344,25.70,87.00,0
644,3.344,25.70,85.00,0
654,3.344,25.80,85.00,0
664,3.340,25.80,87.00,0
674,3.344,25.70,85.00,0
684,3.344,25.70,85.00,0
694,3.344,25.70,85.00,0
704,3.344,25.70,85.00,0
714,3.344,25.70,87.00,0
724,3.348,25.70,85.00,0
734,3.344,25.80,87.00,0
744,3.344,25.60,85.00,0
754,3.344,25.60,85.00,0
764,3.344,25.70,85.00,0
774,3.344,25.70,85.00,0
784,3.348,25.70,85.00,0
794,3.344,25.70,85.00,0
804,3.340,25.60,85.00,0
814,3.344,25.70,85.00,0
825,3.344,25.60,85.00,0
835,3.340,25.80,85.00,0
845,3.344,25.80,87.00,0
855,3.344,25.60,85.00,0
865,3.344,25.70,87.00,0
875,3.344,25.70,85.00,0
885,3.344,25.70,85.00,0
895,3.344,25.80,87.00,0
905,3.344,25.60,85.00,0
915,3.344,25.80,85.00,0
925,3.344,25.70,85.00,0
935,3.344,25.60,85.00,0
945,3.344,25.80,87.00,0
955,3.344,25.60,85.00,0
965,3.344,25.70,87.00,0
975,3.344,25.80,87.00,0
985,3.348,25.60,85.00,0
995,3.344,25.80,87.00,0
1005,3.344,25.70,85.00,0
1015,3.344,25.70,87.00,0
1025,3.344,25.80,87.00,0
1035,3.344,25.70,85.00,0
1045,3.344,25.70,87.00,0
1055,3.340,25.60,85.00,0
1065,3.344,25.80,85.00,0
1075,3.344,25.70,85.00,0
1085,3.344,25.60,85.00,0
1095,3.344,25.80,87.00,0
1106,3.344,25.70,85.00,0
1116,3.344,25.70,85.00,0
1126,3.344,25.80,87.00,0
1136,3.344,25.60,85.00,0
1146,3.344,25.70,87.00,0
1156,3.344,25.80,87.00,0
1166,3.344,25.70,85.00,0
1176,3.344,25.80,87.00,0
1186,3.344,25.60,85.00,0
1196,3.344,25.80,87.00,0
1206,3.344,25.80,87.00,0
1216,3.344,25.60,85.00,0
1226,3.344,25.80,87.00,0
1236,3.344,25.60,85.00,0
1246,3.344,25.80,85.00,0
1256,3.344,25.70,85.00,0
1266,3.344,25.60,85.00,0
1276,3.340,25.70,87.00,0
1286,3.340,25.60,85.00,0
1296,3.340,25.60,85.00,0
1306,3.344,25.70,85.00,0
1316,3.344,25.70,85.00,0
1326,3.344,25.80,85.00,0
1336,3.348,25.60,85.00,0
1346,3.344,25.70,85.00,0
1356,3.344,25.80,87.00,0
1366,3.344,25.60,85.00,0
1376,3.344,25.80,87.00,0
1386,3.344,25.70,85.00,0
1396,3.344,25.70,85.00,0
1411,3.344,25.70,85.00,0
1421,3.344,25.70,85.00,0
1431,3.340,25.60,85.00,0
1441,3.340,25.80,87.00,0
1451,3.340,25.60,85.00,0
1461,3.340,25.70,85.00,0
1471,3.340,25.70,85.00,0
1481,3.344,25.70,85.00,0
1491,3.344,25.80,85.00,0
1501,3.340,25.70,85.00,0
1511,3.344,25.70,85.00,0
1521,3.344,25.80,87.00,0
1531,3.344,25.60,85.00,0
1541,3.344,25.70,87.00,0
1551,3.344,25.80,87.00,0
1561,3.344,25.70,85.00,0
1571,3.344,25.70,85.00,0
1581,3.344,25.60,85.00,0
1591,3.344,25.80,85.00,0
1601,3.344,25.70,85.00,0
1611,3.344,25.70,85.00,0
1621,3.344,25.80,87.00,0
1631,3.340,25.70,85.00,0
1641,3.344,25.70,85.00,0
1651,3.340,25.80,87.00,0
1661,3.344,25.60,85.00,0
1671,3.344,25.70,87.00,0
1681,3.340,25.60,85.00,0
1691,3.344,25.80,85.00,0
1701,3.344,25.70,85.00,0
1711,3.344,25.70,85.00,0
1721,3.344,25.80,87.00,0
1731,3.340,25.70,85.00,0
1741,3.344,25.70,85.00,0
1751,3.344,25.80,87.00,0
1761,3.344,25.60,85.00,0
1771,3.344,25.80,87.00,0
1781,3.340,25.70,85.00,0
1791,3.344,25.60,85.00,0
1801,3.344,25.80,87.00,0
1811,3.344,25.60,85.00,0
1821,3.344,25.70,85.00,0
1831,3.344,25.70,85.00,0
1841,3.344,25.60,85.00,0
1851,3.344,25.80,87.00,0
1861,3.344,25.60,85.00,0
1871,3.344,25.70,85.00,0
1881,3.344,25.90,87.00,0
1891,3.344,25.60,85.00,0
1901,3.344,25.70,87.00,0
1911,3.344,25.60,85.00,0
1921,3.344,25.70,85.00,0
1931,3.344,25.70,85.00,0
1941,3.344,25.60,85.00,0
1951,3.344,25.80,87.00,0
1961,3.344,25.80,87.00,0
1971,3.344,25.70,85.00,0
1981,3.344,25.80,87.00,0
1991,3.340,25.70,85.00,0
2001,3.344,25.70,85.00,0
2011,3.344,25.70,85.00,0
2021,3.344,25.60,85.00,0
2031,3.344,25.80,87.00,0
2041,3.344,25.70,85.00,0
2051,3.344,25.70,85.00,0
2061,3.344,25.70,85.00,0
2071,3.344,25.60,85.00,0
2081,3.344,25.70,85.00,0
2091,3.344,25.60,85.00,0
2101,3.344,25.80,87.00,0
2111,3.344,25.80,87.00,0
2121,3.344,25.60,85.00,0
2131,3.344,25.70,85.00,0
2141,3.344,25.70,85.00,0
2151,3.344,25.70,85.00,0
2161,3.344,25.80,87.00,0
2171,3.340,25.60,85.00,0
2181,3.340,25.80,85.00,0
2191,3.344,25.70,85.00,0
2201,3.344,25.70,85.00,0
2211,3.344,25.80,87.00,0
2221,3.344,25.60,85.00,0
2231,3.344,25.70,85.00,0
2241,3.344,25.80,87.00,0
2251,3.344,25.60,85.00,0
2261,3.344,25.70,85.00,0
2271,3.340,25.70,85.00,0
2281,3.344,25.70,85.00,0
2291,3.344,25.80,87.00,0
2301,3.344,25.60,85.00,0
2311,3.344,25.80,87.00,0
2321,3.344,25.70,85.00,0
2331,3.344,25.80,85.00,0
2341,3.340,25.80,87.00,0
2354,3.340,25.60,85.00,0
2364,3.340,25.70,85.00,0
2374,3.344,25.70,85.00,0
2384,3.344,25.70,85.00,0
2394,3.344,25.80,85.00,0
2404,3.344,25.60,85.00,0
2414,3.344,25.60,85.00,0
2424,3.348,25.70,85.00,0
2434,3.344,25.60,85.00,0
2444,3.348,25.70,85.00,0
2454,3.344,25.70,85.00,0
2464,3.344,25.60,85.00,0
2474,3.344,25.70,85.00,0
2484,3.344,25.60,85.00,0
2494,3.344,25.70,87.00,0
2504,3.344,25.70,85.00,0
2514,3.344,25.70,85.00,0
2524,3.344,25.70,85.00,0
2534,3.344,25.70,85.00,0
2544,3.344,25.70,85.00,0
2554,3.344,25.80,87.00,0
2564,3.344,25.60,85.00,0
2574,3.340,25.80,87.00,0
2584,3.340,25.60,85.00,0
2594,3.344,25.70,85.00,0
2604,3.344,25.80,87.00,0
2614,3.344,25.60,85.00,0
2624,3.344,25.70,85.00,0
2634,3.344,25.60,85.00,0
2644,3.344,25.70,85.00,0
2654,3.348,25.80,87.00,0
2664,3.344,25.60,85.00,0
2674,3.344,25.70,87.00,0
2684,3.344,25.70,85.00,0
2694,3.344,25.70,85.00,0
2704,3.348,25.70,85.00,0
2714,3.344,25.60,85.00,0
2724,3.344,25.70,87.00,0
2734,3.344,25.70,85.00,0
2744,3.344,25.70,85.00,0
2754,3.344,25.80,87.00,0
2764,3.344,25.70,85.00,0
2774,3.344,25.80,87.00,0
2784,3.344,25.80,87.00,0
2794,3.344,25.60,85.00,0
2804,3.344,25.80,85.00,0
2814,3.344,25.70,85.00,0
2824,3.344,25.70,85.00,0
2834,3.344,25.70,85.00,0
2844,3.344,25.70,85.00,0
2854,3.344,25.70,85.00,0
2864,3.344,25.60,85.00,0
2874,3.344,25.70,85.00,0
2884,3.344,25.70,85.00,0
2894,3.344,25.70,85.00,0
2904,3.344,25.70,87.00,0
2914,3.344,25.60,85.00,0
2924,3.344,25.70,85.00,0
2934,3.344,25.80,87.00,0
2944,3.344,25.60,85.00,0
2954,3.344,25.70,87.00,0
2965,3.344,25.70,85.00,0
2975,3.344,25.70,85.00,0
2985,3.344,25.70,85.00,0
2995,3.344,25.70,85.00,0
3005,3.344,25.80,85.00,0
3015,3.344,25.70,85.00,0
3025,3.344,25.60,85.00,0
3035,3.340,25.70,87.00,0
3045,3.344,25.60,85.00,0
3055,3.344,25.70,85.00,0
3065,3.344,25.80,87.00,0
3075,3.348,25.70,85.00,0
3085,3.344,25.70,87.00,0
3095,3.344,25.70,85.00,0
3105,3.344,25.60,85.00,0
3115,3.344,25.80,87.00,0
3125,3.344,25.60,85.00,0
3135,3.344,25.80,85.00,0
3145,3.344,25.70,85.00,0
3155,3.344,25.60,85.00,0
3166,3.344,25.70,85.00,0
3176,3.340,25.70,85.00,0
3186,3.340,25.80,85.00,0
3196,3.344,25.70,85.00,0
3206,3.344,25.70,85.00,0
3216,3.344,25.70,85.00,0
3226,3.344,25.70,85.00,0
3236,3.344,25.60,85.00,0
3246,3.344,25.70,87.00,0
3256,3.344,25.70,85.00,0
3266,3.344,25.70,87.00,0
3276,3.344,25.70,85.00,0
3286,3.344,25.60,85.00,0
3296,3.344,25.70,85.00,0
3306,3.344,25.70,85.00,0
3316,3.344,25.80,87.00,0
3326,3.344,25.70,87.00,0
3336,3.344,25.60,85.00,0
3346,3.348,25.80,87.00,0
3356,3.344,25.60,85.00,0
3366,3.344,25.70,85.00,0
3378,3.344,25.70,85.00,0
3388,3.344,25.60,85.00,0
3398,3.348,25.80,85.00,0
3412,3.344,25.70,85.00,0
3422,3.344,25.70,85.00,0
3432,3.344,25.70,85.00,0
3442,3.344,25.80,87.00,0
3452,3.344,25.60,85.00,0
3462,3.344,25.70,85.00,0
3472,3.344,25.70,85.00,0
3482,3.344,25.70,85.00,0
3492,3.344,25.70,85.00,0
3502,3.344,25.60,85.00,0
3512,3.344,25.80,85.00,0
3522,3.344,25.70,85.00,0
3532,3.344,25.70,85.00,0
3542,3.344,25.70,85.00,0
3552,3.344,25.60,85.00,0
3562,3.348,25.80,87.00,0
3573,3.344,25.70,87.00,0
3583,3.340,25.60,85.00,0
3593,3.344,25.70,85.00,0
3603,3.344,25.60,85.00,0
3613,3.344,25.70,85.00,0
3623,3.344,25.70,85.00,0
3633,3.344,25.60,85.00,0
3643,3.344,25.70,85.00,0
3653,3.344,25.60,85.00,0
3663,3.344,25.70,85.00,0
3673,3.348,25.70,85.00,0
3683,3.348,25.60,85.00,0
3693,3.344,25.70,85.00,0
3703,3.344,25.60,85.00,0
3713,3.348,25.60,85.00,0
3723,3.344,25.80,87.00,0
3733,3.344,25.50,85.00,0
3743,3.348,25.70,87.00,0
3753,3.344,25.60,85.00,0
3763,3.344,25.60,85.00,0
3773,3.344,25.80,87.00,0
3783,3.344,25.70,85.00,0
3796,3.344,25.50,85.00,0
3806,3.344,25.80,87.00,0
3816,3.344,25.60,85.00,0
3826,3.344,25.80,87.00,0
3836,3.344,25.70,85.00,0
3846,3.344,25.60,85.00,0
3856,3.344,25.80,87.00,0
3866,3.344,25.70,85.00,0
3876,3.344,25.80,85.00,0
3886,3.328,47.90,161.00,0
3896,3.232,251.40,816.00,0
3906,3.232,230.10,822.00,0
3916,3.252,204.90,667.00,0
3926,3.252,205.20,668.00,0
3936,3.252,205.10,667.00,0
3946,3.252,205.90,670.00,0
3956,3.252,205.40,670.00,0
3966,3.252,205.60,668.00,0
3976,3.252,205.60,668.00,0
3986,3.252,204.70,665.00,0
3996,3.252,205.00,668.00,0
4006,3.252,203.80,664.00,0
4016,3.248,203.50,662.00,0
4026,3.248,206.40,672.00,0
4036,3.252,205.70,668.00,0
4046,3.224,289.80,934.00,0
4056,3.224,286.40,424.00,0
4066,3.224,283.80,916.00,0
4076,3.200,326.60,1124.00,0
4086,3.212,383.10,1229.00,0
4096,3.184,327.60,1055.00,0
4106,3.220,289.70,1208.00,0
4116,3.216,354.50,1131.00,0
4126,3.220,298.50,962.00,0
4136,3.224,297.60,960.00,0
4146,3.220,297.60,958.00,0
4156,3.220,298.30,962.00,0
4166,3.220,298.10,960.00,0
4176,3.220,299.10,960.00,0
4186,3.220,298.40,960.00,0
4197,3.192,382.90,1222.00,0
4207,3.188,390.10,1242.00,0
4217,3.188,393.50,1255.00,0
4227,3.192,381.90,1219.00,0
4237,3.192,377.50,1212.00,0
4247,3.192,381.60,1217.00,0
4257,3.192,378.30,1217.00,0
4267,3.192,392.40,1252.00,0
4277,3.192,390.80,1247.00,0
4287,3.188,400.00,1275.00,0
4297,3.188,400.00,1273.00,0
4307,3.184,400.00,1273.00,0
4317,3.180,400.00,1271.00,0
4327,3.184,400.00,1275.00,0
4337,3.188,400.00,496.00,0
4347,3.184,400.00,1273.00,0
4357,3.184,400.00,1273.00,0
4367,3.184,400.00,441.00,0
4377,3.180,400.00,1271.00,0
4387,3.176,400.00,1268.00,0
4397,3.176,111.40,362.00,0
4407,3.296,93.00,274.00,0
4418,3.280,105.90,347.00,0
4428,3.276,98.30,323.00,0
4438,3.248,208.30,677.00,0
4448,3.288,116.50,387.00,0
4458,3.284,122.60,401.00,0
4468,3.296,95.80,280.00,0
4478,3.304,58.20,193.00,0
4488,3.320,58.10,193.00,0
4498,3.320,58.10,193.00,0
4508,3.320,57.90,192.00,0
4518,3.320,58.10,192.00,0
4528,3.320,58.10,193.00,0
4538,3.320,58.00,193.00,0
4548,3.320,58.00,193.00,0
4558,3.320,57.80,192.00,0
4568,3.320,57.80,192.00,0
4578,3.320,58.00,193.00,0
4588,3.320,57.80,192.00,0
4598,3.320,57.90,192.00,0
4608,3.316,57.80,192.00,0
4618,3.320,57.90,192.00,0
4628,3.320,58.00,193.00,0
4638,3.320,57.70,192.00,0
4648,3.320,57.90,192.00,0
4658,3.320,57.90,192.00,0
4668,3.320,57.70,192.00,0
4678,3.320,58.00,193.00,1
4688,3.320,58.00,193.00,1
4698,3.320,58.10,193.00,1
4708,3.320,58.00,193.00,1
