timestamp_ms,voltage_V,current_mA,power_mW,marker
4,3.344,25.60,85.00,0
14,3.344,25.70,85.00,0
24,3.340,25.60,85.00,0
34,3.344,25.70,85.00,0
44,3.344,25.60,85.00,0
54,3.344,25.60,85.00,0
64,3.344,25.70,85.00,0
75,3.344,25.60,85.00,0
85,3.344,25.60,85.00,0
95,3.344,25.70,85.00,0
105,3.344,25.60,85.00,0
115,3.344,25.70,85.00,0
125,3.344,25.70,85.00,0
135,3.344,25.60,85.00,0
145,3.344,25.70,87.00,0
155,3.344,25.60,85.00,0
165,3.348,25.70,87.00,0
175,3.344,25.70,85.00,0
185,3.344,25.60,85.00,0
195,3.348,25.70,85.00,0
205,3.348,25.60,85.00,0
215,3.348,25.60,85.00,0
225,3.344,25.80,87.00,0
235,3.344,25.60,85.00,0
245,3.348,25.70,85.00,0
255,3.344,25.60,85.00,0
265,3.344,25.60,85.00,0
275,3.348,25.70,85.00,0
285,3.344,25.60,85.00,0
295,3.340,25.70,85.00,0
305,3.344,25.80,87.00,0
315,3.344,25.60,85.00,0
325,3.344,25.70,85.00,0
335,3.344,25.60,85.00,0
345,3.344,25.70,87.00,0
355,3.344,25.70,85.00,0
365,3.344,25.70,85.00,0
375,3.344,25.70,85.00,0
385,3.344,25.60,85.00,0
395,3.344,25.70,85.00,0
405,3.344,25.70,85.00,0
415,3.344,25.60,85.00,0
425,3.344,25.70,87.00,0
435,3.344,25.60,85.00,0
445,3.344,25.60,85.00,0
455,3.344,25.80,87.00,0
465,3.344,25.60,85.00,0
475,3.344,25.70,85.00,0
485,3.344,25.60,85.00,0
495,3.340,25.50,85.00,0
505,3.344,25.70,85.00,0
515,3.344,25.60,85.00,0
525,3.344,25.80,85.00,0
535,3.344,25.70,85.00,0
545,3.344,25.60,85.00,0
555,3.344,25.80,85.00,0
565,3.340,25.60,85.00,0
575,3.344,25.70,85.00,0
585,3.348,25.70,85.00,0
595,3.344,25.60,85.00,0
605,3.344,25.70,85.00,0
615,3.344,25.60,85.00,0
625,3.344,25.70,85.00,0
635,3.344,25.70,85.00,0
645,3.344,25.60,85.00,0
655,3.344,25.70,85.00,0
665,3.344,25.60,85.00,0
675,3.344,25.70,85.00,0
685,3.344,25.70,85.00,0
695,3.344,25.60,85.00,0
705,3.344,25.80,87.00,0
715,3.344,25.70,85.00,0
725,3.344,25.70,85.00,0
735,3.344,25.70,85.00,0
745,3.340,25.60,85.00,0
755,3.340,25.70,85.00,0
765,3.344,25.70,85.00,0
775,3.344,25.60,85.00,0
785,3.344,25.70,85.00,0
795,3.344,25.60,85.00,0
805,3.344,25.70,85.00,0
815,3.344,25.70,85.00,0
825,3.344,25.60,85.00,0
835,3.344,25.80,85.00,0
845,3.344,25.60,85.00,0
855,3.344,25.70,85.00,0
865,3.344,25.70,85.00,0
875,3.344,25.70,85.00,0
885,3.344,25.70,85.00,0
895,3.344,25.70,85.00,0
905,3.344,25.70,85.00,0
915,3.344,25.70,87.00,0
925,3.344,25.60,85.00,0
935,3.344,25.70,85.00,0
945,3.340,25.60,85.00,0
955,3.344,25.60,85.00,0
965,3.344,25.70,85.00,0
975,3.344,25.60,85.00,0
985,3.348,25.70,85.00,0
995,3.344,25.70,85.00,0
1005,3.344,25.70,85.00,0
1015,3.344,25.70,85.00,0
1025,3.344,25.60,85.00,0
1035,3.344,25.70,85.00,0
1045,3.344,25.70,87.00,0
1055,3.344,25.60,85.00,0
1065,3.344,25.60,85.00,0
1075,3.344,25.60,85.00,0
1085,3.344,25.60,85.00,0
1095,3.344,25.70,85.00,0
1105,3.344,25.60,85.00,0
1115,3.344,25.70,85.00,0
1125,3.344,25.60,85.00,0
1135,3.344,25.70,85.00,0
1145,3.344,25.70,85.00,0
1155,3.344,25.60,85.00,0
1165,3.344,25.60,85.00,0
1175,3.344,25.60,85.00,0
1185,3.344,25.50,85.00,0
1195,3.344,25.70,85.00,0
1205,3.344,25.60,85.00,0
1215,3.344,25.70,87.00,0
1225,3.344,25.70,85.00,0
1235,3.344,25.60,85.00,0
1245,3.344,25.70,85.00,0
1255,3.344,25.60,85.00,0
1265,3.344,25.70,85.00,0
1275,3.344,25.70,85.00,0
1285,3.344,25.60,85.00,0
1295,3.344,25.70,85.00,0
1305,3.344,25.60,85.00,0
1315,3.340,25.60,85.00,0
1325,3.344,25.70,85.00,0
1335,3.344,25.60,85.00,0
1346,3.340,25.70,85.00,0
1356,3.340,25.60,85.00,0
1366,3.344,25.60,85.00,0
1376,3.344,25.70,85.00,0
1386,3.344,25.60,85.00,0
1396,3.344,25.70,85.00,0
1406,3.348,25.70,85.00,0
1416,3.344,25.60,85.00,0
1426,3.344,25.70,85.00,0
1436,3.344,25.60,85.00,0
1446,3.344,25.70,85.00,0
1456,3.344,25.70,85.00,0
1466,3.344,25.60,85.00,0
1476,3.344,25.80,85.00,0
1486,3.344,25.60,85.00,0
1496,3.344,25.70,85.00,0
1506,3.348,25.70,85.00,0
1516,3.344,25.60,85.00,0
1529,3.344,25.70,85.00,0
1539,3.344,25.70,85.00,0
1549,3.344,25.60,85.00,0
1559,3.344,25.70,85.00,0
1569,3.344,25.70,85.00,0
1579,3.344,25.50,85.00,0
1589,3.344,25.70,85.00,0
1599,3.344,25.60,85.00,0
1609,3.344,25.70,87.00,0
1619,3.344,25.60,85.00,0
1629,3.344,25.60,85.00,0
1639,3.344,25.70,87.00,0
1649,3.344,25.60,85.00,0
1659,3.344,25.70,85.00,0
1669,3.344,25.70,87.00,0
1679,3.344,25.60,85.00,0
1689,3.344,25.70,85.00,0
1699,3.348,25.60,85.00,0
1709,3.344,25.70,85.00,0
1719,3.348,25.70,85.00,0
1729,3.344,25.60,85.00,0
1740,3.344,25.70,85.00,0
1750,3.344,25.60,85.00,0
1760,3.344,25.60,85.00,0
1770,3.344,25.60,85.00,0
1780,3.344,25.60,85.00,0
1790,3.344,25.70,85.00,0
1800,3.344,25.60,85.00,0
1810,3.344,25.60,85.00,0
1820,3.344,25.70,85.00,0
1830,3.348,25.60,85.00,0
1840,3.344,25.70,85.00,0
1850,3.344,25.80,87.00,0
1860,3.344,25.60,85.00,0
1870,3.344,25.70,85.00,0
1880,3.344,25.60,85.00,0
1890,3.344,25.80,87.00,0
1900,3.344,25.70,85.00,0
1910,3.344,25.60,85.00,0
1920,3.344,25.70,87.00,0
1931,3.344,25.60,85.00,0
1942,3.340,25.60,85.00,0
1952,3.340,25.70,85.00,0
1962,3.344,25.60,85.00,0
1972,3.344,25.70,85.00,0
1982,3.344,25.70,85.00,0
1992,3.344,25.70,85.00,0
2002,3.344,25.70,85.00,0
2012,3.344,25.60,85.00,0
2022,3.344,25.70,87.00,0
2032,3.340,25.80,87.00,0
2042,3.344,25.60,85.00,0
2052,3.344,25.60,85.00,0
2062,3.344,25.60,85.00,0
2072,3.344,25.60,85.00,0
2082,3.348,25.60,85.00,0
2092,3.344,25.60,85.00,0
