timestamp_ms,voltage_V,current_mA,power_mW,marker
29,3.344,25.80,87.00,0
79,3.344,25.80,87.00,0
129,3.344,25.70,87.00,0
179,3.344,25.80,87.00,0
229,3.344,25.80,85.00,0
279,3.344,25.70,87.00,0
329,3.344,25.80,87.00,0
379,3.344,25.80,87.00,0
429,3.344,25.90,87.00,0
479,3.344,25.90,87.00,0
529,3.348,25.90,87.00,0
579,3.344,25.80,87.00,0
629,3.344,25.90,87.00,0
679,3.344,25.90,87.00,0
729,3.348,25.90,87.00,0
779,3.348,25.90,87.00,0
829,3.344,25.80,87.00,0
879,3.348,25.90,87.00,0
929,3.344,25.90,87.00,0
979,3.348,25.80,87.00,0
1029,3.344,25.80,87.00,0
1079,3.344,25.80,87.00,0
1129,3.344,25.80,87.00,0
1179,3.344,25.80,85.00,0
1229,3.344,25.80,87.00,0
1279,3.344,25.80,87.00,0
1329,3.344,25.70,87.00,0
1379,3.344,25.80,87.00,0
1429,3.344,25.80,87.00,0
1479,3.348,25.90,87.00,0
1529,3.344,25.80,87.00,0
1579,3.344,25.90,87.00,0
1629,3.348,25.90,87.00,0
1679,3.344,25.90,87.00,0
1729,3.348,25.90,87.00,0
1779,3.344,25.80,87.00,0
1829,3.344,25.90,87.00,0
1879,3.348,25.90,87.00,0
1929,3.348,25.90,87.00,0
1979,3.348,25.80,87.00,0
2029,3.344,25.80,87.00,0
2079,3.344,25.80,87.00,0
2129,3.344,25.80,87.00,0
2179,3.344,25.80,87.00,0
2229,3.344,25.80,87.00,0
2279,3.344,25.70,87.00,0
2329,3.344,25.80,87.00,0
2379,3.344,25.70,87.00,0
2429,3.344,25.80,87.00,0
2479,3.344,25.90,87.00,0
2529,3.344,25.80,87.00,0
2579,3.344,25.80,87.00,0
2629,3.348,25.90,87.00,0
2679,3.344,25.90,87.00,0
2729,3.344,25.80,87.00,0
2779,3.344,25.80,87.00,0
2829,3.344,25.90,87.00,0
2879,3.344,25.80,87.00,0
2929,3.344,25.80,87.00,0
2979,3.344,25.80,87.00,0
3029,3.344,25.70,85.00,0
3079,3.344,25.70,85.00,0
