timestamp_ms,voltage_V,current_mA,power_mW,marker
5,3.344,25.60,85.00,0
15,3.344,25.70,85.00,0
25,3.344,25.60,85.00,0
36,3.344,25.60,85.00,0
46,3.344,25.70,85.00,0
56,3.344,25.60,85.00,0
66,3.344,25.70,85.00,0
76,3.344,25.60,85.00,0
86,3.344,25.60,85.00,0
96,3.344,25.70,85.00,0
106,3.344,25.60,85.00,0
116,3.344,25.80,87.00,0
126,3.344,25.70,85.00,0
136,3.344,25.70,85.00,0
146,3.344,25.70,85.00,0
156,3.344,25.60,85.00,0
166,3.344,25.70,87.00,0
176,3.344,25.70,85.00,0
186,3.344,25.60,85.00,0
196,3.344,25.70,85.00,0
206,3.344,25.60,85.00,0
216,3.344,25.60,85.00,0
226,3.344,25.70,85.00,0
236,3.344,25.60,85.00,0
246,3.344,25.70,85.00,0
256,3.344,25.60,85.00,0
266,3.344,25.60,85.00,0
276,3.344,25.70,85.00,0
286,3.344,25.70,85.00,0
296,3.344,25.70,85.00,0
306,3.348,25.60,85.00,0
316,3.344,25.60,85.00,0
326,3.344,25.70,85.00,0
336,3.344,25.60,85.00,0
346,3.344,25.80,87.00,0
356,3.348,25.70,85.00,0
366,3.344,25.70,85.00,0
376,3.344,25.70,85.00,0
386,3.344,25.60,85.00,0
396,3.344,25.70,85.00,0
408,3.344,25.80,87.00,0
418,3.344,25.60,85.00,0
428,3.344,25.80,87.00,0
438,3.344,25.70,85.00,0
448,3.344,25.60,85.00,0
458,3.344,25.70,85.00,0
468,3.344,25.60,85.00,0
478,3.344,25.70,85.00,0
488,3.344,25.70,85.00,0
498,3.344,25.70,85.00,0
508,3.344,25.70,85.00,0
518,3.344,25.60,85.00,0
528,3.344,25.70,85.00,0
538,3.344,25.70,85.00,0
548,3.344,25.60,85.00,0
558,3.344,25.70,87.00,0
568,3.344,25.60,85.00,0
578,3.344,25.70,87.00,0
588,3.344,25.70,85.00,0
598,3.340,25.60,85.00,0
608,3.340,25.70,85.00,0
618,3.344,25.60,85.00,0
628,3.344,25.60,85.00,0
638,3.344,25.70,85.00,0
648,3.344,25.60,85.00,0
658,3.344,25.70,85.00,0
668,3.344,25.70,85.00,0
678,3.344,25.60,85.00,0
688,3.348,25.70,85.00,0
698,3.344,25.60,85.00,0
708,3.348,25.70,85.00,0
718,3.344,25.70,85.00,0
728,3.344,25.70,85.00,0
738,3.344,25.70,87.00,0
748,3.344,25.70,85.00,0
758,3.344,25.70,85.00,0
768,3.348,25.60,85.00,0
778,3.348,25.60,85.00,0
788,3.344,25.70,85.00,0
798,3.344,25.60,85.00,0
808,3.344,25.60,85.00,0
819,3.344,25.70,85.00,0
829,3.344,25.60,85.00,0
839,3.344,25.70,85.00,0
849,3.344,25.70,85.00,0
859,3.344,25.60,85.00,0
869,3.344,25.70,85.00,0
879,3.344,25.60,85.00,0
889,3.344,25.70,87.00,0
899,3.344,25.80,87.00,0
909,3.344,25.60,85.00,0
919,3.344,25.70,85.00,0
929,3.348,25.60,85.00,0
939,3.348,25.70,85.00,0
949,3.348,25.70,85.00,0
959,3.344,25.60,85.00,0
969,3.344,25.80,87.00,0
979,3.344,25.60,85.00,0
989,3.344,25.70,85.00,0
999,3.344,25.70,85.00,0
1009,3.344,25.60,85.00,0
1022,3.344,25.60,85.00,0
1032,3.344,25.70,85.00,0
1042,3.344,25.60,85.00,0
1052,3.344,25.70,85.00,0
1062,3.344,25.60,85.00,0
1072,3.344,25.60,85.00,0
1082,3.344,25.70,85.00,0
1092,3.344,25.60,85.00,0
1102,3.344,25.80,85.00,0
1112,3.344,25.60,85.00,0
1122,3.348,25.60,85.00,0
1132,3.344,25.70,87.00,0
1142,3.344,25.60,85.00,0
1152,3.344,25.70,85.00,0
1162,3.344,25.70,85.00,0
1172,3.344,25.60,85.00,0
1182,3.344,25.70,87.00,0
1192,3.344,25.70,87.00,0
1202,3.348,25.80,85.00,0
