timestamp_ms,voltage_V,current_mA,power_mW,marker
4,3.344,25.60,85.00,0
16,3.340,25.60,85.00,0
26,3.340,25.60,85.00,0
36,3.340,25.60,85.00,0
46,3.340,25.70,85.00,0
56,3.344,25.60,85.00,0
66,3.344,25.70,85.00,0
76,3.344,25.70,85.00,0
86,3.344,25.60,85.00,0
96,3.344,25.70,85.00,0
106,3.344,25.60,85.00,0
116,3.344,25.60,85.00,0
126,3.344,25.70,85.00,0
136,3.344,25.60,85.00,0
146,3.344,25.60,85.00,0
156,3.344,25.70,85.00,0
166,3.344,25.50,85.00,0
176,3.344,25.70,85.00,0
186,3.344,25.60,85.00,0
196,3.348,25.60,85.00,0
206,3.344,25.70,85.00,0
216,3.344,25.60,85.00,0
226,3.344,25.70,85.00,0
236,3.344,25.70,85.00,0
246,3.344,25.60,85.00,0
256,3.344,25.70,85.00,0
266,3.344,25.60,85.00,0
276,3.340,25.70,85.00,0
286,3.340,25.70,85.00,0
296,3.344,25.60,85.00,0
307,3.340,25.60,85.00,0
317,3.344,25.60,85.00,0
327,3.344,25.60,85.00,0
337,3.344,25.70,85.00,0
347,3.344,25.50,85.00,0
357,3.344,25.70,85.00,0
367,3.340,25.60,85.00,0
377,3.344,25.60,85.00,0
387,3.344,25.70,85.00,0
397,3.344,25.50,85.00,0
407,3.344,25.70,85.00,0
417,3.344,25.60,85.00,0
427,3.344,25.60,85.00,0
437,3.344,25.70,85.00,0
447,3.344,25.60,85.00,0
457,3.344,25.60,85.00,0
467,3.344,25.70,85.00,0
477,3.344,25.60,85.00,0
487,3.344,25.70,85.00,0
497,3.340,25.60,85.00,0
507,3.344,25.70,85.00,0
517,3.344,25.70,85.00,0
527,3.344,25.60,85.00,0
537,3.340,25.70,85.00,0
547,3.344,25.60,85.00,0
557,3.340,25.60,85.00,0
567,3.340,25.70,85.00,0
577,3.344,25.50,85.00,0
587,3.344,25.70,87.00,0
597,3.344,25.70,85.00,0
607,3.344,25.60,85.00,0
617,3.344,25.70,85.00,0
627,3.344,25.50,85.00,0
637,3.348,25.70,85.00,0
647,3.344,25.50,85.00,0
657,3.344,25.60,85.00,0
667,3.344,25.70,85.00,0
677,3.344,25.60,85.00,0
687,3.344,25.70,85.00,0
697,3.344,25.70,85.00,0
707,3.344,25.60,85.00,0
718,3.340,25.70,85.00,0
728,3.344,25.60,85.00,0
738,3.344,25.60,85.00,0
748,3.344,25.70,85.00,0
758,3.340,25.50,85.00,0
768,3.344,25.70,85.00,0
778,3.344,25.60,85.00,0
788,3.344,25.60,85.00,0
798,3.344,25.70,87.00,0
808,3.344,25.60,85.00,0
818,3.344,25.70,85.00,0
828,3.344,25.60,85.00,0
838,3.344,25.60,85.00,0
848,3.344,25.70,87.00,0
