timestamp_ms,voltage_V,current_mA,power_mW,marker
2,3.344,25.60,85.00,0
13,3.344,25.70,85.00,0
24,3.340,25.60,85.00,0
34,3.344,25.60,85.00,0
44,3.340,25.60,85.00,0
54,3.344,25.70,85.00,0
64,3.344,25.70,85.00,0
74,3.344,25.70,85.00,0
84,3.344,25.70,85.00,0
94,3.344,25.70,85.00,0
104,3.348,25.60,85.00,0
114,3.344,25.80,85.00,0
124,3.344,25.80,87.00,0
134,3.344,25.60,85.00,0
144,3.344,25.70,85.00,0
154,3.344,25.50,85.00,0
164,3.344,25.60,85.00,0
174,3.344,25.70,85.00,0
184,3.340,25.60,85.00,0
197,3.344,25.60,85.00,0
207,3.344,25.80,87.00,0
217,3.344,25.60,85.00,0
227,3.344,25.70,85.00,0
237,3.344,25.70,85.00,0
247,3.344,25.60,85.00,0
257,3.344,25.70,85.00,0
267,3.344,25.70,85.00,0
277,3.344,25.70,85.00,0
287,3.344,25.80,87.00,0
297,3.344,25.70,85.00,0
307,3.344,25.70,85.00,0
317,3.344,25.60,85.00,0
327,3.344,25.70,85.00,0
337,3.344,25.70,85.00,0
347,3.348,25.60,85.00,0
357,3.344,25.70,85.00,0
367,3.348,25.60,85.00,0
377,3.344,25.60,85.00,0
387,3.344,25.60,85.00,0
398,3.340,25.70,85.00,0
408,3.344,25.70,85.00,0
418,3.344,25.70,85.00,0
428,3.344,25.60,85.00,0
438,3.344,25.70,85.00,0
448,3.344,25.60,85.00,0
458,3.344,25.80,85.00,0
468,3.348,25.70,85.00,0
478,3.344,25.60,85.00,0
488,3.348,25.70,85.00,0
498,3.344,25.60,85.00,0
508,3.344,25.70,85.00,0
518,3.348,25.70,87.00,0
528,3.344,25.60,85.00,0
538,3.344,25.70,87.00,0
548,3.344,25.60,85.00,0
558,3.348,25.60,87.00,0
568,3.348,25.70,85.00,0
578,3.344,25.70,85.00,0
588,3.344,25.70,85.00,0
598,3.344,25.70,85.00,0
608,3.344,25.60,85.00,0
618,3.348,25.80,87.00,0
628,3.344,25.70,85.00,0
638,3.348,25.70,85.00,0
648,3.348,25.70,85.00,0
658,3.348,25.60,85.00,0
668,3.344,25.70,87.00,0
678,3.344,25.60,85.00,0
688,3.344,25.80,85.00,0
698,3.340,25.70,85.00,0
709,3.340,25.50,85.00,0
719,3.344,25.80,87.00,0
729,3.344,25.70,85.00,0
739,3.344,25.60,85.00,0
749,3.344,25.70,85.00,0
759,3.344,25.60,85.00,0
769,3.344,25.80,87.00,0
779,3.344,25.80,87.00,0
789,3.344,25.60,85.00,0
799,3.340,25.80,87.00,0
809,3.344,25.60,85.00,0
819,3.344,25.70,85.00,0
829,3.348,25.60,85.00,0
839,3.348,25.60,85.00,0
849,3.344,25.80,87.00,0
859,3.348,25.60,85.00,0
869,3.344,25.70,85.00,0
879,3.344,25.70,85.00,0
889,3.344,25.60,85.00,0
899,3.344,25.80,87.00,0
909,3.344,25.60,85.00,0
919,3.348,25.60,85.00,0
929,3.348,25.70,87.00,0
939,3.348,25.60,85.00,0
949,3.344,25.70,87.00,0
959,3.348,25.60,85.00,0
969,3.348,25.70,85.00,0
979,3.344,25.70,85.00,0
989,3.344,25.60,85.00,0
999,3.344,25.70,85.00,0
1009,3.344,25.70,85.00,0
1020,3.340,25.60,85.00,0
1030,3.344,25.70,85.00,0
1040,3.344,25.70,85.00,0
1050,3.344,25.70,85.00,0
1060,3.344,25.70,85.00,0
1070,3.332,36.80,197.00,0
1080,3.240,253.30,818.00,0
1090,3.232,229.10,739.00,0
1100,3.248,205.40,668.00,0
1110,3.248,206.50,670.00,0
1120,3.248,206.70,672.00,0
1130,3.248,207.70,675.00,0
1140,3.248,207.20,673.00,0
1150,3.252,206.40,673.00,0
1160,3.252,206.00,668.00,0
1170,3.248,206.00,668.00,0
1180,3.248,205.50,668.00,0
1190,3.248,204.50,664.00,0
1200,3.248,203.50,662.00,0
1211,3.248,207.70,660.00,0
1221,3.244,207.00,672.00,0
1231,3.220,288.30,926.00,0
1241,3.224,285.00,918.00,0
1251,3.224,283.90,914.00,0
1261,3.220,327.80,1054.00,0
1271,3.208,312.60,999.00,0
1281,3.212,366.10,1027.00,0
1291,3.188,396.50,1265.00,0
1301,3.220,296.00,954.00,0
1311,3.220,297.80,955.00,0
1321,3.220,297.40,957.00,0
1331,3.220,296.70,957.00,0
1341,3.220,297.60,958.00,0
1351,3.220,296.90,957.00,0
1361,3.220,296.70,955.00,0
1371,3.220,297.50,957.00,0
1381,3.192,381.60,1221.00,0
1391,3.192,399.50,1271.00,0
1401,3.180,399.50,1270.00,0
1411,3.188,385.80,1230.00,0
1421,3.188,380.60,1219.00,0
1431,3.188,384.40,1221.00,0
1441,3.188,378.50,1208.00,0
1451,3.184,389.70,1240.00,0
1461,3.188,394.20,1245.00,0
1471,3.180,400.00,1271.00,0
1481,3.180,400.00,1271.00,0
1491,3.180,400.00,1280.00,0
1501,3.176,400.00,1270.00,0
1511,3.180,400.00,1270.00,0
1521,3.180,400.00,1281.00,0
1531,3.180,400.00,1271.00,0
1541,3.180,400.00,1271.00,0
1551,3.180,400.00,1283.00,0
1561,3.176,400.00,1270.00,0
1571,3.172,400.00,1268.00,0
1581,3.172,400.00,1285.00,0
1591,3.296,92.50,311.00,0
1601,3.280,110.70,364.00,0
1611,3.276,93.80,369.00,0
1621,3.276,120.70,395.00,0
1631,3.248,211.60,691.00,0
1641,3.280,122.00,400.00,0
1651,3.276,75.10,247.00,0
1661,3.304,75.70,264.00,0
1671,3.316,58.10,193.00,0
1681,3.320,57.80,192.00,0
1691,3.320,57.90,192.00,0
1701,3.320,57.90,192.00,0
1711,3.320,57.80,192.00,0
1721,3.320,57.90,192.00,0
1731,3.320,57.90,192.00,0
1741,3.320,57.70,192.00,0
1751,3.320,57.80,192.00,0
1761,3.320,57.70,192.00,0
1771,3.320,57.80,192.00,0
1781,3.320,57.90,192.00,0
1791,3.320,57.60,192.00,0
1801,3.320,57.90,192.00,0
1811,3.320,57.70,192.00,0
1821,3.316,57.70,192.00,0
1833,3.312,57.90,192.00,0
1843,3.320,57.60,192.00,0
1853,3.316,57.80,192.00,0
1863,3.316,60.60,200.00,0
1873,3.300,84.40,282.00,0
1883,3.296,86.00,283.00,0
1893,3.296,86.50,285.00,0
1903,3.300,85.90,282.00,0
1913,3.296,81.60,269.00,0
1923,3.300,85.90,285.00,0
1933,3.300,86.00,283.00,0
1943,3.300,85.90,283.00,0
1953,3.300,86.00,283.00,0
1963,3.296,126.70,418.00,0
1973,3.300,87.20,287.00,0
1983,3.296,85.90,283.00,0
1993,3.300,77.40,256.00,0
2003,3.300,86.00,418.00,0
2013,3.300,86.00,283.00,0
2023,3.296,117.40,388.00,0
2036,3.296,85.80,283.00,0
2046,3.296,86.10,283.00,0
2056,3.296,86.30,285.00,0
2066,3.300,85.90,283.00,0
2076,3.296,86.10,283.00,0
2086,3.296,115.00,283.00,0
2096,3.296,86.10,283.00,0
2106,3.296,85.90,283.00,0
2116,3.296,86.00,283.00,0
2126,3.300,85.90,283.00,0
2136,3.300,85.80,283.00,0
2146,3.296,86.00,283.00,0
2156,3.296,85.80,283.00,0
2166,3.300,85.90,283.00,0
2176,3.300,86.00,283.00,0
2186,3.300,85.60,283.00,0
2196,3.300,85.90,283.00,0
2206,3.300,85.70,283.00,0
2217,3.300,79.70,264.00,0
2228,3.296,84.60,279.00,0
2238,3.296,94.90,313.00,0
2248,3.296,85.70,282.00,0
2258,3.296,85.90,283.00,0
2268,3.296,85.60,282.00,0
2278,3.296,87.10,287.00,0
2288,3.296,104.00,342.00,0
2298,3.296,80.40,261.00,0
2308,3.300,85.80,283.00,0
2318,3.300,85.70,297.00,0
2328,3.300,85.80,283.00,0
2338,3.296,86.70,285.00,0
2348,3.300,85.60,282.00,0
2358,3.304,78.00,257.00,0
2368,3.300,125.30,413.00,0
2378,3.296,95.60,283.00,0
2388,3.300,85.90,283.00,0
2398,3.296,85.80,283.00,0
2408,3.300,123.00,406.00,0
2418,3.296,85.80,283.00,0
2428,3.296,85.70,282.00,0
2438,3.296,86.60,285.00,0
2449,3.296,85.80,283.00,0
2459,3.296,86.00,283.00,0
2469,3.288,79.30,262.00,0
2479,3.292,85.70,339.00,0
2489,3.296,85.70,282.00,0
2499,3.296,85.60,282.00,0
2509,3.300,86.20,285.00,0
2519,3.296,85.70,283.00,0
2529,3.300,86.50,283.00,0
2539,3.296,116.50,385.00,0
2549,3.300,86.30,285.00,0
2559,3.292,85.10,274.00,0
2569,3.300,86.70,285.00,0
2579,3.300,86.90,285.00,0
2589,3.300,85.80,283.00,0
2599,3.292,86.70,285.00,0
2609,3.296,86.50,283.00,0
2619,3.296,85.90,283.00,0
2629,3.300,84.30,256.00,0
2639,3.296,81.00,267.00,0
2649,3.296,86.00,283.00,0
2659,3.296,85.70,282.00,0
2669,3.296,85.90,283.00,0
2679,3.284,84.00,277.00,0
2689,3.296,86.00,283.00,0
2699,3.296,84.30,279.00,0
2709,3.284,75.40,282.00,0
2719,3.296,85.80,283.00,0
2729,3.300,85.60,283.00,0
2739,3.296,85.90,283.00,0
2750,3.296,85.90,283.00,0
2760,3.296,86.00,403.00,0
2770,3.296,86.00,283.00,0
2780,3.296,85.40,280.00,0
2790,3.296,85.80,282.00,0
2800,3.296,85.80,283.00,0
2810,3.296,85.70,282.00,0
2820,3.300,85.70,283.00,0
2830,3.296,85.90,283.00,0
2840,3.296,85.60,282.00,0
2850,3.296,86.70,287.00,0
2860,3.300,85.60,282.00,0
2870,3.304,78.00,257.00,0
2880,3.296,85.60,282.00,0
2890,3.300,85.40,267.00,0
2900,3.296,85.70,283.00,0
2910,3.300,86.00,283.00,0
2920,3.300,86.10,282.00,0
2930,3.296,85.70,283.00,0
2940,3.300,77.30,275.00,0
2950,3.296,86.40,285.00,0
2960,3.296,85.60,282.00,0
2970,3.296,85.80,283.00,0
2980,3.296,95.40,315.00,0
2990,3.296,86.20,283.00,0
3000,3.296,85.80,283.00,0
3010,3.296,85.70,282.00,0
3020,3.300,85.80,283.00,0
3030,3.300,85.80,283.00,0
3040,3.296,85.70,388.00,0
3050,3.296,86.40,285.00,0
3060,3.300,85.80,283.00,0
3070,3.308,85.70,283.00,0
3080,3.296,82.60,272.00,0
3090,3.296,85.60,282.00,0
3100,3.296,85.80,283.00,0
3110,3.296,85.80,283.00,0
3120,3.300,85.80,390.00,0
3130,3.300,85.70,282.00,0
3140,3.296,85.70,282.00,0
3150,3.296,83.40,275.00,0
3160,3.292,100.70,270.00,0
3170,3.296,85.90,283.00,0
3180,3.296,86.40,285.00,0
3190,3.296,81.70,270.00,0
3200,3.296,87.10,287.00,0
3210,3.296,94.50,311.00,0
3220,3.296,85.80,282.00,0
3230,3.300,78.60,261.00,0
3241,3.304,85.00,287.00,0
3251,3.296,85.80,265.00,0
3261,3.300,85.90,283.00,0
3271,3.300,84.10,277.00,0
3281,3.296,85.90,283.00,0
3291,3.296,85.80,283.00,0
3301,3.300,85.80,282.00,0
3311,3.296,85.80,282.00,0
3321,3.300,85.80,283.00,0
3331,3.300,85.90,283.00,0
3341,3.296,120.80,398.00,0
3351,3.296,85.70,275.00,0
3361,3.296,127.10,419.00,0
3374,3.296,84.50,283.00,0
3384,3.296,84.60,283.00,0
3394,3.296,85.80,283.00,0
3404,3.296,85.80,283.00,0
3414,3.296,85.60,282.00,0
3424,3.296,85.70,282.00,0
3434,3.296,83.70,283.00,0
3444,3.300,85.80,283.00,0
3454,3.300,80.20,264.00,0
3464,3.296,86.00,236.00,0
3474,3.304,84.80,280.00,0
3484,3.304,77.90,257.00,0
3494,3.300,85.80,283.00,0
3504,3.300,85.80,283.00,0
3514,3.296,78.90,280.00,0
3524,3.300,85.60,282.00,0
3534,3.284,93.40,308.00,0
3544,3.300,85.90,283.00,0
3554,3.296,79.50,262.00,0
3564,3.296,86.70,251.00,0
3574,3.296,85.80,283.00,0
3584,3.296,85.90,282.00,0
3594,3.296,85.80,283.00,0
3604,3.296,86.20,283.00,0
3614,3.296,81.00,267.00,0
3624,3.296,120.80,398.00,0
3634,3.296,86.00,283.00,0
3644,3.300,85.70,283.00,0
3654,3.296,85.90,283.00,0
3664,3.296,85.80,283.00,0
3674,3.300,86.30,285.00,0
3684,3.296,86.20,285.00,0
3694,3.300,85.80,283.00,0
3704,3.300,86.00,283.00,0
3714,3.296,86.20,285.00,0
3724,3.300,85.80,283.00,0
3734,3.300,86.40,285.00,0
3744,3.300,85.70,282.00,0
3754,3.296,85.90,283.00,0
3764,3.300,84.40,279.00,0
3774,3.296,85.70,282.00,0
3784,3.296,85.80,283.00,0
3794,3.296,85.90,283.00,0
3808,3.296,85.80,283.00,0
3818,3.296,86.90,287.00,0
3828,3.296,84.60,279.00,0
3838,3.296,85.70,282.00,0
3848,3.296,85.90,283.00,0
3858,3.296,122.70,256.00,0
3868,3.296,85.90,283.00,0
3878,3.300,85.80,283.00,0
3888,3.300,85.80,283.00,0
3898,3.296,85.60,282.00,0
3908,3.300,85.80,277.00,0
3918,3.296,85.90,283.00,0
3928,3.300,85.70,282.00,0
3938,3.300,85.90,275.00,0
3948,3.300,85.90,283.00,0
3958,3.296,85.90,283.00,0
3968,3.296,83.90,277.00,0
3978,3.296,85.60,282.00,0
3988,3.296,85.70,282.00,0
3998,3.296,86.00,283.00,0
4008,3.284,94.30,311.00,0
4018,3.284,80.30,265.00,0
4028,3.296,85.60,282.00,0
4038,3.296,85.60,282.00,0
4048,3.300,85.80,283.00,0
4058,3.300,85.70,282.00,0
4068,3.300,85.80,283.00,0
4078,3.296,86.80,287.00,0
4088,3.300,85.90,287.00,0
4098,3.300,85.70,283.00,0
4108,3.296,85.60,282.00,0
4118,3.296,85.80,282.00,0
4128,3.300,85.70,283.00,0
4138,3.300,85.20,282.00,0
4149,3.296,85.70,283.00,0
4159,3.300,85.70,283.00,0
4169,3.296,85.60,282.00,0
4180,3.292,85.90,283.00,0
4190,3.296,86.00,283.00,0
4200,3.296,85.80,283.00,0
4210,3.296,121.50,401.00,0
4220,3.296,86.20,282.00,0
4230,3.296,85.90,283.00,0
4240,3.296,85.70,282.00,0
4250,3.300,85.80,282.00,0
4260,3.300,86.00,283.00,0
4270,3.300,86.30,282.00,0
4280,3.300,80.10,264.00,0
4290,3.292,85.50,282.00,0
4300,3.296,85.60,283.00,0
4310,3.300,85.80,283.00,0
4320,3.300,85.60,282.00,0
4330,3.296,85.80,283.00,0
4340,3.300,85.60,282.00,0
4350,3.300,86.50,370.00,0
4360,3.300,85.90,283.00,0
4370,3.300,89.70,295.00,0
4380,3.296,85.80,283.00,0
4390,3.296,85.70,282.00,0
4403,3.296,85.60,297.00,0
4413,3.300,77.90,257.00,0
4423,3.296,86.80,287.00,0
4433,3.296,85.70,270.00,0
4443,3.284,85.60,282.00,0
4453,3.296,85.80,283.00,0
4463,3.296,85.80,283.00,0
4473,3.296,85.80,283.00,0
4483,3.296,85.60,254.00,0
4493,3.296,85.90,283.00,0
4503,3.296,85.70,282.00,0
4513,3.296,85.80,283.00,0
4523,3.296,83.50,275.00,0
4533,3.296,85.80,283.00,0
4543,3.296,86.10,283.00,0
4553,3.296,85.70,283.00,0
4563,3.304,123.20,300.00,0
4573,3.296,85.90,283.00,0
4583,3.296,85.60,351.00,0
4593,3.296,86.10,283.00,0
4606,3.296,82.50,272.00,0
4616,3.296,85.70,282.00,0
4626,3.296,85.90,360.00,0
4636,3.296,88.30,292.00,0
4646,3.296,85.80,282.00,0
4656,3.296,86.00,283.00,0
4666,3.296,85.60,282.00,0
4676,3.300,85.70,283.00,0
4686,3.296,82.30,272.00,0
4696,3.296,86.00,283.00,0
4706,3.300,85.90,283.00,0
4716,3.300,86.30,285.00,0
4726,3.300,83.50,272.00,0
4736,3.300,87.00,287.00,0
4746,3.300,85.60,282.00,0
4756,3.296,81.60,270.00,0
4766,3.300,85.70,282.00,0
4777,3.296,85.90,283.00,0
4787,3.296,85.90,283.00,0
4797,3.296,85.70,283.00,0
4807,3.296,86.60,285.00,0
4817,3.296,85.80,283.00,0
4827,3.296,85.80,283.00,0
4837,3.296,85.90,283.00,0
4847,3.296,85.80,283.00,0
4857,3.300,85.90,275.00,0
4870,3.296,85.40,280.00,0
4880,3.304,82.20,272.00,0
4890,3.296,85.80,282.00,0
4900,3.300,84.60,279.00,0
4910,3.300,85.70,282.00,0
4920,3.300,86.00,283.00,0
4930,3.296,85.70,282.00,0
4940,3.300,85.60,283.00,0
4950,3.300,85.00,280.00,0
4960,3.296,85.70,283.00,0
4970,3.300,85.80,283.00,0
4980,3.300,85.70,282.00,0
4990,3.296,78.60,259.00,0
5000,3.296,105.20,346.00,0
5011,3.296,84.80,280.00,0
5021,3.300,77.80,270.00,0
5031,3.296,85.80,283.00,0
5041,3.296,84.00,282.00,0
5051,3.300,85.40,280.00,0
5061,3.296,85.80,283.00,0
5071,3.300,85.70,283.00,0
5081,3.300,85.60,282.00,0
5091,3.296,85.80,283.00,0
5101,3.296,87.20,287.00,0
5111,3.296,86.10,283.00,0
5121,3.304,85.80,283.00,0
5131,3.292,85.80,283.00,0
5141,3.292,86.20,283.00,0
5151,3.300,85.90,283.00,0
5161,3.296,85.80,283.00,0
5171,3.300,86.50,282.00,0
5181,3.300,86.60,285.00,0
5191,3.296,109.10,283.00,0
5201,3.296,86.50,285.00,0
5212,3.300,80.60,275.00,0
5222,3.300,85.60,282.00,0
5232,3.296,86.10,283.00,0
5242,3.296,85.60,282.00,0
5252,3.296,85.60,277.00,0
5262,3.296,98.50,324.00,0
5272,3.300,85.80,283.00,0
5282,3.300,85.60,282.00,0
5292,3.300,77.50,256.00,0
5302,3.300,85.60,283.00,0
5312,3.296,86.80,287.00,0
5322,3.300,85.90,283.00,0
5332,3.304,79.40,267.00,0
5342,3.296,85.80,283.00,0
5352,3.296,87.00,287.00,0
5362,3.300,85.70,282.00,0
5372,3.300,85.80,283.00,0
5382,3.300,85.80,283.00,0
5392,3.296,84.70,279.00,0
5402,3.296,85.70,283.00,0
5412,3.296,85.90,283.00,0
5422,3.296,86.30,287.00,0
5432,3.296,85.90,283.00,0
5442,3.296,84.10,277.00,0
5452,3.296,85.80,283.00,0
