timestamp_ms,voltage_V,current_mA,power_mW,marker_ble,marker_wifi,marker_sleep
0,3.320,57.40,190.00,1,0,0
3,3.320,61.10,203.00,1,0,0
5,3.320,57.70,192.00,1,0,0
7,3.316,57.60,192.00,1,0,0
10,3.320,57.40,190.00,1,0,0
12,3.320,57.40,259.00,1,0,0
15,3.316,79.70,262.00,1,0,0
17,3.280,83.20,274.00,1,0,0
20,3.320,57.50,192.00,1,0,0
22,3.320,57.50,228.00,1,0,0
25,3.316,57.70,192.00,1,0,0
27,3.320,57.30,190.00,1,0,0
30,3.320,57.30,190.00,1,0,0
32,3.320,57.40,190.00,1,0,0
35,3.320,57.50,192.00,1,0,0
37,3.300,167.90,421.00,1,0,0
40,3.320,57.50,192.00,1,0,0
42,3.320,57.50,192.00,1,0,0
45,3.320,57.40,190.00,1,0,0
47,3.320,57.30,190.00,1,0,0
49,3.320,57.40,190.00,1,0,0
52,3.316,57.80,205.00,1,0,0
54,3.300,57.60,192.00,1,0,0
67,3.320,57.70,192.00,1,0,0
70,3.320,57.80,192.00,1,0,0
72,3.316,57.80,234.00,1,0,0
74,3.300,57.50,188.00,1,0,0
77,3.292,157.60,519.00,1,0,0
79,3.320,57.40,190.00,1,0,0
82,3.316,57.30,190.00,1,0,0
84,3.308,57.70,192.00,1,0,0
87,3.320,57.80,192.00,1,0,0
89,3.320,57.70,192.00,1,0,0
92,3.320,57.60,192.00,1,0,0
94,3.312,57.20,190.00,1,0,0
97,3.264,103.00,434.00,1,0,0
99,3.300,57.30,190.00,1,0,0
102,3.320,57.60,192.00,1,0,0
104,3.312,58.40,192.00,1,0,0
107,3.320,57.70,192.00,1,0,0
109,3.320,57.40,190.00,1,0,0
112,3.316,57.30,190.00,1,0,0
114,3.308,57.30,190.00,1,0,0
116,3.284,155.80,513.00,1,0,0
129,3.320,57.30,190.00,1,0,0
132,3.320,57.40,190.00,1,0,0
134,3.304,70.10,190.00,1,0,0
137,3.316,115.10,377.00,1,0,0
139,3.316,57.60,192.00,1,0,0
141,3.316,57.40,190.00,1,0,0
144,3.316,57.40,190.00,1,0,0
146,3.320,57.30,190.00,1,0,0
149,3.316,57.40,190.00,1,0,0
151,3.316,57.80,192.00,1,0,0
154,3.300,62.30,206.00,1,0,0
156,3.316,144.60,492.00,1,0,0
159,3.264,57.30,190.00,1,0,0
161,3.320,57.30,190.00,1,0,0
164,3.308,57.60,190.00,1,0,0
166,3.320,57.60,192.00,1,0,0
169,3.320,57.80,192.00,1,0,0
171,3.320,57.80,192.00,1,0,0
184,3.308,58.20,193.00,1,0,0
186,3.316,57.80,192.00,1,0,0
189,3.320,57.60,192.00,1,0,0
191,3.320,57.60,192.00,1,0,0
194,3.316,75.60,190.00,1,0,0
196,3.316,133.40,439.00,1,0,0
199,3.292,57.40,190.00,1,0,0
201,3.316,57.50,192.00,1,0,0
203,3.316,58.30,193.00,1,0,0
206,3.320,57.70,192.00,1,0,0
208,3.320,57.50,190.00,1,0,0
211,3.316,57.30,190.00,1,0,0
213,3.308,76.70,254.00,1,0,0
216,3.320,103.10,462.00,1,0,0
218,3.284,57.50,192.00,1,0,0
221,3.316,57.60,192.00,1,0,0
223,3.320,68.80,193.00,1,0,0
226,3.320,57.30,190.00,1,0,0
238,3.264,98.80,192.00,1,0,0
241,3.320,57.40,190.00,1,0,0
243,3.316,63.60,211.00,1,0,0
246,3.320,57.40,190.00,1,0,0
248,3.320,57.40,190.00,1,0,0
251,3.316,57.80,192.00,1,0,0
253,3.316,66.80,197.00,1,0,0
256,3.316,127.50,416.00,1,0,0
258,3.304,88.50,293.00,1,0,0
