timestamp_ms,voltage_V,current_mA,power_mW,marker_ble,marker_wifi,marker_sleep
0,3.312,57.90,192.00,1,0,0
3,3.312,57.90,190.00,1,0,0
6,3.312,58.40,239.00,1,0,0
8,3.260,85.70,283.00,1,0,0
11,3.312,58.10,192.00,1,0,0
13,3.312,58.20,192.00,1,0,0
15,3.312,57.80,192.00,1,0,0
18,3.312,57.90,192.00,1,0,0
20,3.312,57.90,192.00,1,0,0
23,3.312,63.10,208.00,1,0,0
25,3.312,58.60,193.00,1,0,0
28,3.272,117.90,211.00,1,0,0
30,3.312,57.80,192.00,1,0,0
33,3.312,57.90,192.00,1,0,0
35,3.312,57.90,192.00,1,0,0
38,3.312,58.20,193.00,1,0,0
40,3.312,58.30,193.00,1,0,0
43,3.312,58.20,238.00,1,0,0
45,3.296,58.40,193.00,1,0,0
48,3.312,122.40,401.00,1,0,0
50,3.312,57.90,192.00,1,0,0
53,3.312,57.90,192.00,1,0,0
55,3.312,58.20,193.00,1,0,0
68,3.276,157.10,519.00,1,0,0
70,3.312,58.00,192.00,1,0,0
73,3.312,58.10,193.00,1,0,0
75,3.312,58.20,193.00,1,0,0
78,3.312,58.20,193.00,1,0,0
80,3.312,57.80,192.00,1,0,0
83,3.316,57.90,192.00,1,0,0
85,3.300,78.40,259.00,1,0,0
88,3.312,61.20,526.00,1,0,0
90,3.272,58.20,193.00,1,0,0
92,3.312,58.10,192.00,1,0,0
95,3.312,58.20,192.00,1,0,0
97,3.312,57.80,192.00,1,0,0
100,3.312,57.80,192.00,1,0,0
102,3.312,57.80,193.00,1,0,0
105,3.312,75.00,249.00,1,0,0
107,3.312,112.50,369.00,1,0,0
110,3.252,65.30,216.00,1,0,0
112,3.312,57.90,192.00,1,0,0
115,3.312,57.90,192.00,1,0,0
117,3.312,57.90,192.00,1,0,0
130,3.272,58.00,192.00,1,0,0
132,3.312,57.80,192.00,1,0,0
135,3.312,57.90,192.00,1,0,0
137,3.312,58.10,192.00,1,0,0
140,3.312,58.10,193.00,1,0,0
142,3.316,58.20,193.00,1,0,0
145,3.312,77.50,256.00,1,0,0
147,3.312,57.90,396.00,1,0,0
150,3.252,58.00,192.00,1,0,0
152,3.312,58.10,192.00,1,0,0
155,3.312,58.30,193.00,1,0,0
157,3.312,58.20,192.00,1,0,0
159,3.312,58.20,193.00,1,0,0
162,3.312,57.90,192.00,1,0,0
164,3.312,57.90,256.00,1,0,0
167,3.304,57.80,188.00,1,0,0
169,3.276,130.00,431.00,1,0,0
172,3.312,58.20,193.00,1,0,0
174,3.312,58.10,192.00,1,0,0
187,3.312,92.90,305.00,1,0,0
189,3.280,157.30,521.00,1,0,0
192,3.312,58.20,193.00,1,0,0
194,3.312,57.90,192.00,1,0,0
197,3.312,57.90,192.00,1,0,0
199,3.312,57.90,192.00,1,0,0
202,3.312,58.20,193.00,1,0,0
204,3.312,66.40,220.00,1,0,0
207,3.312,58.30,478.00,1,0,0
209,3.272,61.30,203.00,1,0,0
212,3.312,57.90,192.00,1,0,0
214,3.312,57.90,192.00,1,0,0
217,3.312,57.90,192.00,1,0,0
219,3.312,58.10,192.00,1,0,0
222,3.312,58.20,193.00,1,0,0
224,3.312,58.20,247.00,1,0,0
226,3.296,57.90,192.00,1,0,0
229,3.248,137.20,452.00,1,0,0
242,3.312,58.20,193.00,1,0,0
244,3.312,57.90,257.00,1,0,0
247,3.300,57.80,188.00,1,0,0
249,3.276,154.20,510.00,1,0,0
252,3.316,58.20,193.00,1,0,0
254,3.312,58.20,193.00,1,0,0
256,3.312,58.20,193.00,1,0,0
259,3.312,57.90,192.00,1,0,0
261,3.316,57.80,192.00,1,0,0
264,3.312,57.90,192.00,1,0,0
266,3.308,57.80,192.00,1,0,0
269,3.256,160.60,341.00,1,0,0
271,3.288,58.20,193.00,1,0,0
274,3.312,58.10,192.00,1,0,0
276,3.312,57.90,192.00,1,0,0
279,3.312,57.90,192.00,1,0,0
281,3.312,57.90,192.00,1,0,0
284,3.312,58.10,203.00,1,0,0
296,3.312,57.80,192.00,1,0,0
299,3.312,58.10,192.00,1,0,0
301,3.312,58.20,193.00,1,0,0
304,3.312,58.20,234.00,1,0,0
306,3.292,58.60,193.00,1,0,0
309,3.252,115.70,378.00,1,0,0
311,3.312,57.90,192.00,1,0,0
314,3.312,57.90,192.00,1,0,0
316,3.312,58.20,193.00,1,0,0
319,3.312,58.20,193.00,1,0,0
321,3.312,58.20,193.00,1,0,0
324,3.312,58.00,192.00,1,0,0
326,3.296,57.90,192.00,1,0,0
328,3.280,117.90,519.00,1,0,0
331,3.304,57.80,192.00,1,0,0
333,3.316,58.20,193.00,1,0,0
336,3.312,58.20,192.00,1,0,0
338,3.312,58.20,193.00,1,0,0
351,3.312,58.20,193.00,1,0,0
353,3.312,58.20,193.00,1,0,0
356,3.312,58.10,192.00,1,0,0
358,3.316,57.90,192.00,1,0,0
361,3.312,57.80,192.00,1,0,0
363,3.312,57.80,190.00,1,0,0
366,3.292,58.40,193.00,1,0,0
368,3.272,155.20,505.00,1,0,0
371,3.312,58.40,192.00,1,0,0
373,3.312,57.90,192.00,1,0,0
376,3.316,57.90,192.00,1,0,0
378,3.312,57.90,192.00,1,0,0
381,3.316,57.80,192.00,1,0,0
383,3.312,58.20,193.00,1,0,0
386,3.296,68.80,228.00,1,0,0
388,3.312,154.10,377.00,1,0,0
391,3.264,57.90,192.00,1,0,0
393,3.312,57.80,192.00,1,0,0
406,3.296,60.20,200.00,1,0,0
408,3.296,129.90,480.00,1,0,0
411,3.300,57.90,192.00,1,0,0
413,3.312,57.90,192.00,1,0,0
416,3.312,58.20,193.00,1,0,0
418,3.316,58.20,193.00,1,0,0
421,3.312,58.20,193.00,1,0,0
423,3.312,57.80,192.00,1,0,0
425,3.308,57.80,192.00,1,0,0
428,3.312,118.50,388.00,1,0,0
430,3.308,58.20,193.00,1,0,0
433,3.312,58.20,193.00,1,0,0
435,3.312,58.20,193.00,1,0,0
438,3.312,58.20,193.00,1,0,0
440,3.316,57.80,192.00,1,0,0
443,3.312,57.80,192.00,1,0,0
445,3.300,77.00,254.00,1,0,0
448,3.312,58.40,524.00,1,0,0
460,3.312,57.90,192.00,1,0,0
463,3.312,58.20,193.00,1,0,0
465,3.296,73.50,244.00,1,0,0
468,3.312,128.10,405.00,1,0,0
470,3.248,58.20,193.00,1,0,0
473,3.312,57.80,192.00,1,0,0
475,3.312,57.90,192.00,1,0,0
478,3.312,57.90,192.00,1,0,0
480,3.312,58.20,193.00,1,0,0
483,3.316,58.20,193.00,1,0,0
485,3.312,65.00,215.00,1,0,0
488,3.312,154.30,501.00,1,0,0
490,3.280,58.00,192.00,1,0,0
493,3.312,57.90,192.00,1,0,0
495,3.312,58.10,193.00,1,0,0
497,3.312,58.20,193.00,1,0,0
500,3.312,58.20,193.00,1,0,0
502,3.316,58.20,193.00,1,0,0
515,3.316,58.20,193.00,1,0,0
518,3.312,58.20,193.00,1,0,0
520,3.316,58.10,192.00,1,0,0
522,3.312,57.90,192.00,1,0,0
525,3.300,77.40,256.00,1,0,0
527,3.312,57.80,460.00,1,0,0
530,3.276,58.40,193.00,1,0,0
532,3.312,58.20,193.00,1,0,0
535,3.312,58.20,193.00,1,0,0
537,3.312,57.90,192.00,1,0,0
540,3.316,57.90,192.00,1,0,0
542,3.312,57.90,192.00,1,0,0
545,3.312,58.20,257.00,1,0,0
547,3.312,100.00,328.00,1,0,0
550,3.252,65.60,218.00,1,0,0
552,3.312,58.20,192.00,1,0,0
555,3.312,57.90,192.00,1,0,0
557,3.312,57.90,192.00,1,0,0
560,3.312,57.80,192.00,1,0,0
572,3.312,57.90,192.00,1,0,0
575,3.312,57.90,192.00,1,0,0
577,3.312,58.10,193.00,1,0,0
580,3.312,58.20,193.00,1,0,0
582,3.316,58.20,193.00,1,0,0
585,3.316,76.10,251.00,1,0,0
587,3.312,57.80,413.00,1,0,0
589,3.252,58.00,192.00,1,0,0
592,3.312,57.90,192.00,1,0,0
594,3.312,58.20,193.00,1,0,0
597,3.312,58.20,193.00,1,0,0
599,3.312,58.20,193.00,1,0,0
602,3.316,58.00,192.00,1,0,0
604,3.316,57.90,257.00,1,0,0
607,3.300,57.80,188.00,1,0,0
609,3.276,145.80,483.00,1,0,0
612,3.312,58.20,193.00,1,0,0
614,3.316,58.20,193.00,1,0,0
617,3.312,58.20,193.00,1,0,0
629,3.264,85.80,283.00,1,0,0
632,3.312,58.20,193.00,1,0,0
634,3.316,57.90,192.00,1,0,0
637,3.312,57.90,192.00,1,0,0
639,3.316,57.90,192.00,1,0,0
642,3.312,57.90,192.00,1,0,0
644,3.312,62.90,208.00,1,0,0
647,3.312,58.30,193.00,1,0,0
649,3.272,120.10,213.00,1,0,0
652,3.312,57.90,192.00,1,0,0
654,3.312,57.90,192.00,1,0,0
656,3.312,57.80,192.00,1,0,0
659,3.312,58.10,192.00,1,0,0
661,3.312,58.20,193.00,1,0,0
664,3.316,58.20,238.00,1,0,0
666,3.296,58.50,193.00,1,0,0
669,3.248,120.00,395.00,1,0,0
671,3.312,57.90,192.00,1,0,0
684,3.312,57.90,257.00,1,0,0
686,3.296,57.90,190.00,1,0,0
689,3.260,159.20,526.00,1,0,0
691,3.312,58.00,193.00,1,0,0
694,3.312,58.20,193.00,1,0,0
696,3.312,58.10,192.00,1,0,0
699,3.312,58.20,192.00,1,0,0
701,3.312,57.90,192.00,1,0,0
704,3.312,57.80,192.00,1,0,0
706,3.304,57.90,192.00,1,0,0
709,3.252,136.60,423.00,1,0,0
711,3.312,58.10,193.00,1,0,0
714,3.316,58.20,193.00,1,0,0
716,3.316,58.20,192.00,1,0,0
719,3.312,57.80,192.00,1,0,0
721,3.316,57.90,192.00,1,0,0
724,3.316,57.90,192.00,1,0,0
726,3.296,58.40,193.00,1,0,0
739,3.312,57.80,192.00,1,0,0
741,3.312,58.10,193.00,1,0,0
744,3.316,58.20,223.00,1,0,0
746,3.296,58.60,193.00,1,0,0
749,3.264,115.40,377.00,1,0,0
751,3.312,57.90,192.00,1,0,0
753,3.312,57.90,192.00,1,0,0
756,3.312,57.80,192.00,1,0,0
758,3.316,58.20,193.00,1,0,0
761,3.312,58.20,193.00,1,0,0
763,3.316,58.10,192.00,1,0,0
766,3.296,62.20,206.00,1,0,0
768,3.308,141.40,434.00,1,0,0
771,3.292,57.90,192.00,1,0,0
773,3.312,58.10,192.00,1,0,0
776,3.316,58.20,193.00,1,0,0
778,3.312,58.20,193.00,1,0,0
781,3.316,58.20,193.00,1,0,0
793,3.316,58.20,193.00,1,0,0
796,3.316,58.20,192.00,1,0,0
798,3.312,57.90,192.00,1,0,0
801,3.312,57.90,192.00,1,0,0
803,3.312,57.90,192.00,1,0,0
806,3.300,58.30,193.00,1,0,0
808,3.260,159.60,521.00,1,0,0
811,3.312,58.20,193.00,1,0,0
813,3.316,58.20,193.00,1,0,0
816,3.312,57.80,192.00,1,0,0
818,3.312,57.90,192.00,1,0,0
821,3.316,57.90,192.00,1,0,0
823,3.312,58.20,193.00,1,0,0
825,3.296,72.90,242.00,1,0,0
828,3.312,112.60,452.00,1,0,0
830,3.252,58.00,192.00,1,0,0
833,3.312,57.90,192.00,1,0,0
835,3.316,57.90,192.00,1,0,0
848,3.312,149.20,400.00,1,0,0
851,3.284,57.90,192.00,1,0,0
853,3.312,57.90,192.00,1,0,0
855,3.312,58.20,193.00,1,0,0
858,3.312,58.20,193.00,1,0,0
860,3.316,58.20,193.00,1,0,0
863,3.312,58.20,192.00,1,0,0
865,3.312,77.80,192.00,1,0,0
868,3.312,117.90,385.00,1,0,0
870,3.308,57.90,192.00,1,0,0
873,3.312,58.20,193.00,1,0,0
875,3.312,58.10,192.00,1,0,0
878,3.312,58.20,193.00,1,0,0
880,3.316,58.00,192.00,1,0,0
883,3.312,57.90,192.00,1,0,0
885,3.304,77.00,254.00,1,0,0
888,3.312,57.90,469.00,1,0,0
890,3.276,58.30,193.00,1,0,0
903,3.312,57.80,192.00,1,0,0
905,3.292,78.10,259.00,1,0,0
908,3.312,105.10,474.00,1,0,0
910,3.252,58.20,193.00,1,0,0
913,3.312,57.90,192.00,1,0,0
915,3.312,57.90,192.00,1,0,0
918,3.312,57.90,192.00,1,0,0
920,3.312,58.10,192.00,1,0,0
922,3.312,58.20,193.00,1,0,0
