timestamp_ms,voltage_V,current_mA,power_mW,marker_ble,marker_wifi,marker_sleep
0,3.312,63.60,211.00,1,0,0
3,3.308,63.50,210.00,1,0,0
5,3.312,63.30,210.00,1,0,0
8,3.312,63.30,210.00,1,0,0
10,3.312,63.20,210.00,1,0,0
13,3.312,67.10,270.00,1,0,0
15,3.312,119.00,390.00,1,0,0
18,3.300,63.90,211.00,1,0,0
20,3.312,63.40,210.00,1,0,0
23,3.312,63.30,210.00,1,0,0
25,3.312,63.30,210.00,1,0,0
28,3.312,63.60,211.00,1,0,0
30,3.312,63.60,211.00,1,0,0
33,3.312,77.20,254.00,1,0,0
35,3.312,63.80,426.00,1,0,0
37,3.276,63.50,210.00,1,0,0
40,3.312,63.40,210.00,1,0,0
42,3.312,63.30,211.00,1,0,0
45,3.312,63.50,210.00,1,0,0
47,3.312,63.60,211.00,1,0,0
50,3.312,63.60,211.00,1,0,0
52,3.312,83.80,277.00,1,0,0
55,3.300,63.30,208.00,1,0,0
57,3.284,82.50,274.00,1,0,0
70,3.312,63.30,210.00,1,0,0
72,3.312,63.20,279.00,1,0,0
75,3.304,63.30,208.00,1,0,0
77,3.280,106.80,354.00,1,0,0
80,3.312,63.60,211.00,1,0,0
82,3.312,63.60,211.00,1,0,0
85,3.312,63.30,210.00,1,0,0
87,3.312,63.20,210.00,1,0,0
90,3.312,63.30,210.00,1,0,0
92,3.312,65.10,215.00,1,0,0
95,3.312,63.80,357.00,1,0,0
97,3.280,63.80,211.00,1,0,0
100,3.312,63.60,211.00,1,0,0
102,3.312,63.20,210.00,1,0,0
104,3.312,63.30,210.00,1,0,0
107,3.312,63.20,210.00,1,0,0
109,3.312,64.40,213.00,1,0,0
112,3.312,63.60,247.00,1,0,0
114,3.300,63.80,211.00,1,0,0
117,3.276,127.00,419.00,1,0,0
119,3.312,63.30,210.00,1,0,0
132,3.312,63.50,275.00,1,0,0
134,3.300,63.10,208.00,1,0,0
137,3.284,91.80,305.00,1,0,0
139,3.312,63.20,210.00,1,0,0
142,3.312,63.50,210.00,1,0,0
144,3.312,63.50,210.00,1,0,0
147,3.312,63.50,210.00,1,0,0
149,3.312,63.20,210.00,1,0,0
152,3.312,63.20,208.00,1,0,0
154,3.304,63.30,210.00,1,0,0
157,3.280,115.60,421.00,1,0,0
159,3.312,63.50,210.00,1,0,0
162,3.296,100.70,333.00,1,0,0
164,3.296,100.30,329.00,1,0,0
167,3.296,63.30,210.00,1,0,0
169,3.312,63.20,210.00,1,0,0
171,3.312,63.20,208.00,1,0,0
174,3.296,63.90,211.00,1,0,0
187,3.312,63.20,210.00,1,0,0
189,3.312,63.50,210.00,1,0,0
191,3.312,63.50,210.00,1,0,0
194,3.296,75.40,211.00,1,0,0
196,3.312,128.70,426.00,1,0,0
199,3.312,63.20,210.00,1,0,0
201,3.312,63.20,210.00,1,0,0
204,3.312,63.10,210.00,1,0,0
206,3.312,63.40,210.00,1,0,0
209,3.312,63.50,210.00,1,0,0
211,3.312,64.40,213.00,1,0,0
214,3.300,66.60,221.00,1,0,0
216,3.304,123.50,390.00,1,0,0
223,3.312,63.40,210.00,1,0,0
226,3.312,63.40,210.00,1,0,0
228,3.312,63.50,210.00,1,0,0
231,3.312,63.10,210.00,1,0,0
233,3.308,83.60,277.00,1,0,0
236,3.312,63.10,437.00,1,0,0
238,3.280,63.60,211.00,1,0,0
240,3.312,63.50,210.00,1,0,0
243,3.312,63.40,210.00,1,0,0
245,3.312,63.20,210.00,1,0,0
248,3.312,63.20,210.00,1,0,0
250,3.312,63.20,210.00,1,0,0
253,3.312,83.10,275.00,1,0,0
255,3.312,87.80,288.00,1,0,0
258,3.288,63.80,211.00,1,0,0
270,3.312,63.70,211.00,1,0,0
273,3.312,82.90,275.00,1,0,0
275,3.312,106.60,351.00,1,0,0
278,3.296,63.60,210.00,1,0,0
280,3.312,63.30,210.00,1,0,0
283,3.312,63.30,210.00,1,0,0
285,3.312,63.30,210.00,1,0,0
288,3.312,63.60,211.00,1,0,0
290,3.312,63.60,211.00,1,0,0
293,3.312,80.60,265.00,1,0,0
295,3.312,63.30,405.00,1,0,0
298,3.284,63.50,210.00,1,0,0
300,3.312,63.30,210.00,1,0,0
303,3.312,63.60,211.00,1,0,0
305,3.312,63.60,211.00,1,0,0
308,3.312,63.60,211.00,1,0,0
310,3.312,63.60,210.00,1,0,0
312,3.312,83.70,277.00,1,0,0
325,3.312,63.60,211.00,1,0,0
328,3.312,63.40,210.00,1,0,0
330,3.312,63.30,210.00,1,0,0
332,3.312,63.40,272.00,1,0,0
335,3.304,63.70,210.00,1,0,0
337,3.280,112.40,372.00,1,0,0
340,3.312,63.70,211.00,1,0,0
342,3.312,63.40,210.00,1,0,0
345,3.312,63.30,210.00,1,0,0
347,3.312,63.20,210.00,1,0,0
350,3.312,63.40,210.00,1,0,0
352,3.312,68.70,226.00,1,0,0
355,3.312,64.00,411.00,1,0,0
357,3.276,63.80,211.00,1,0,0
360,3.312,63.40,210.00,1,0,0
362,3.312,63.30,210.00,1,0,0
365,3.312,63.30,290.00,1,0,0
367,3.296,100.80,333.00,1,0,0
380,3.312,63.30,210.00,1,0,0
382,3.312,63.20,210.00,1,0,0
385,3.312,63.70,211.00,1,0,0
387,3.312,63.60,211.00,1,0,0
390,3.312,63.50,210.00,1,0,0
392,3.312,63.20,277.00,1,0,0
394,3.300,63.20,208.00,1,0,0
397,3.280,71.60,238.00,1,0,0
399,3.312,63.70,211.00,1,0,0
402,3.312,63.60,211.00,1,0,0
404,3.312,63.60,211.00,1,0,0
407,3.312,63.60,211.00,1,0,0
409,3.312,63.30,210.00,1,0,0
412,3.312,63.20,208.00,1,0,0
414,3.308,63.30,210.00,1,0,0
417,3.276,129.70,375.00,1,0,0
419,3.312,63.70,211.00,1,0,0
422,3.312,63.60,211.00,1,0,0
424,3.312,63.30,210.00,1,0,0
437,3.280,119.00,211.00,1,0,0
439,3.312,63.30,210.00,1,0,0
442,3.312,63.30,210.00,1,0,0
444,3.312,63.20,210.00,1,0,0
447,3.312,63.50,210.00,1,0,0
449,3.312,63.50,210.00,1,0,0
452,3.312,63.60,211.00,1,0,0
454,3.300,70.30,211.00,1,0,0
457,3.312,128.90,428.00,1,0,0
459,3.312,63.30,210.00,1,0,0
462,3.312,63.40,210.00,1,0,0
464,3.312,63.60,211.00,1,0,0
466,3.312,63.60,211.00,1,0,0
469,3.292,100.00,339.00,1,0,0
471,3.300,96.10,316.00,1,0,0
474,3.280,72.00,239.00,1,0,0
476,3.312,130.80,428.00,1,0,0
479,3.312,63.50,210.00,1,0,0
491,3.312,63.40,210.00,1,0,0
494,3.304,63.30,210.00,1,0,0
496,3.280,132.00,234.00,1,0,0
499,3.312,63.70,211.00,1,0,0
501,3.312,63.60,211.00,1,0,0
504,3.312,63.60,211.00,1,0,0
506,3.312,63.30,210.00,1,0,0
509,3.312,63.40,210.00,1,0,0
511,3.312,63.30,210.00,1,0,0
514,3.300,82.90,211.00,1,0,0
516,3.312,119.90,395.00,1,0,0
519,3.312,64.60,215.00,1,0,0
521,3.312,63.30,210.00,1,0,0
524,3.312,63.30,210.00,1,0,0
526,3.312,63.30,210.00,1,0,0
529,3.312,63.60,211.00,1,0,0
531,3.316,63.60,211.00,1,0,0
533,3.300,75.90,251.00,1,0,0
546,3.312,63.60,211.00,1,0,0
549,3.312,63.60,211.00,1,0,0
551,3.312,63.60,211.00,1,0,0
554,3.312,64.80,215.00,1,0,0
556,3.296,123.70,406.00,1,0,0
559,3.288,63.50,210.00,1,0,0
561,3.312,63.60,211.00,1,0,0
563,3.312,63.60,211.00,1,0,0
566,3.312,63.60,211.00,1,0,0
568,3.312,63.30,210.00,1,0,0
571,3.292,99.30,328.00,1,0,0
573,3.284,125.00,342.00,1,0,0
576,3.284,99.70,329.00,1,0,0
578,3.312,63.70,211.00,1,0,0
581,3.312,63.70,211.00,1,0,0
583,3.312,63.60,211.00,1,0,0
586,3.312,63.30,210.00,1,0,0
588,3.312,63.30,210.00,1,0,0
601,3.312,63.60,211.00,1,0,0
603,3.312,63.30,210.00,1,0,0
606,3.312,63.20,210.00,1,0,0
608,3.312,63.30,210.00,1,0,0
611,3.312,63.70,211.00,1,0,0
613,3.312,74.90,247.00,1,0,0
616,3.312,126.80,416.00,1,0,0
618,3.308,63.40,210.00,1,0,0
621,3.312,63.40,210.00,1,0,0
623,3.312,63.20,210.00,1,0,0
626,3.312,63.60,211.00,1,0,0
628,3.312,63.50,210.00,1,0,0
631,3.312,63.60,211.00,1,0,0
633,3.312,82.20,221.00,1,0,0
635,3.312,112.60,369.00,1,0,0
638,3.288,63.50,210.00,1,0,0
640,3.312,63.30,211.00,1,0,0
643,3.312,63.60,211.00,1,0,0
656,3.312,63.30,370.00,1,0,0
658,3.276,63.80,211.00,1,0,0
660,3.312,63.70,211.00,1,0,0
663,3.312,63.60,211.00,1,0,0
665,3.312,63.30,210.00,1,0,0
668,3.312,63.20,210.00,1,0,0
670,3.312,63.30,210.00,1,0,0
673,3.312,120.20,395.00,1,0,0
675,3.296,101.40,333.00,1,0,0
678,3.296,100.50,280.00,1,0,0
680,3.312,63.60,211.00,1,0,0
683,3.312,63.30,210.00,1,0,0
685,3.312,63.30,210.00,1,0,0
688,3.312,63.20,210.00,1,0,0
690,3.312,63.50,210.00,1,0,0
693,3.312,70.20,259.00,1,0,0
695,3.312,125.30,411.00,1,0,0
698,3.308,63.80,211.00,1,0,0
710,3.312,63.50,210.00,1,0,0
713,3.312,79.70,264.00,1,0,0
715,3.312,63.20,424.00,1,0,0
718,3.280,63.30,210.00,1,0,0
720,3.312,63.20,210.00,1,0,0
723,3.312,63.60,210.00,1,0,0
725,3.312,63.60,211.00,1,0,0
728,3.312,63.60,211.00,1,0,0
730,3.312,63.50,210.00,1,0,0
732,3.312,83.70,277.00,1,0,0
735,3.312,63.20,208.00,1,0,0
737,3.280,71.30,210.00,1,0,0
740,3.312,63.60,211.00,1,0,0
742,3.312,63.50,210.00,1,0,0
745,3.312,63.60,210.00,1,0,0
747,3.312,63.20,210.00,1,0,0
750,3.312,63.20,210.00,1,0,0
752,3.312,63.30,208.00,1,0,0
755,3.308,63.40,238.00,1,0,0
767,3.312,63.30,210.00,1,0,0
770,3.312,63.20,210.00,1,0,0
772,3.312,67.90,224.00,1,0,0
775,3.312,63.80,359.00,1,0,0
777,3.296,101.30,334.00,1,0,0
780,3.300,102.00,336.00,1,0,0
782,3.312,63.30,210.00,1,0,0
785,3.316,63.20,210.00,1,0,0
787,3.312,63.50,210.00,1,0,0
790,3.312,63.50,210.00,1,0,0
792,3.312,78.30,259.00,1,0,0
795,3.300,63.80,211.00,1,0,0
797,3.276,127.00,418.00,1,0,0
799,3.312,63.30,210.00,1,0,0
802,3.312,63.20,210.00,1,0,0
804,3.312,63.50,210.00,1,0,0
807,3.312,63.40,210.00,1,0,0
809,3.312,63.50,210.00,1,0,0
822,3.312,63.50,210.00,1,0,0
825,3.312,63.50,210.00,1,0,0
827,3.312,63.40,208.00,1,0,0
829,3.308,63.20,210.00,1,0,0
832,3.312,63.20,208.00,1,0,0
834,3.304,63.20,208.00,1,0,0
837,3.280,71.20,236.00,1,0,0
839,3.312,63.60,211.00,1,0,0
842,3.312,63.60,211.00,1,0,0
844,3.312,63.20,210.00,1,0,0
847,3.312,63.10,210.00,1,0,0
849,3.312,63.10,210.00,1,0,0
852,3.312,63.30,216.00,1,0,0
854,3.296,63.60,211.00,1,0,0
857,3.280,119.60,395.00,1,0,0
859,3.312,63.50,210.00,1,0,0
862,3.312,63.10,210.00,1,0,0
864,3.312,63.10,210.00,1,0,0
866,3.312,63.20,210.00,1,0,0
879,3.296,99.50,331.00,1,0,0
882,3.296,101.00,333.00,1,0,0
