timestamp_ms,voltage_V,current_mA,power_mW,marker_ble,marker_wifi,marker_sleep
0,3.280,59.50,198.00,1,0,0
2,3.320,59.40,197.00,1,0,0
5,3.320,59.50,198.00,1,0,0
7,3.320,59.20,197.00,1,0,0
10,3.320,59.10,197.00,1,0,0
12,3.320,59.20,197.00,1,0,0
15,3.320,79.00,262.00,1,0,0
17,3.320,99.60,328.00,1,0,0
20,3.292,59.70,198.00,1,0,0
22,3.320,59.20,197.00,1,0,0
25,3.320,59.30,197.00,1,0,0
27,3.320,59.20,197.00,1,0,0
30,3.320,59.10,197.00,1,0,0
32,3.320,59.50,198.00,1,0,0
35,3.320,69.10,236.00,1,0,0
37,3.320,126.30,415.00,1,0,0
39,3.276,62.70,208.00,1,0,0
42,3.320,59.20,197.00,1,0,0
44,3.320,59.20,197.00,1,0,0
47,3.320,59.40,197.00,1,0,0
49,3.320,59.50,198.00,1,0,0
52,3.320,59.40,198.00,1,0,0
54,3.320,78.80,261.00,1,0,0
67,3.320,59.50,198.00,1,0,0
69,3.320,59.50,198.00,1,0,0
72,3.320,59.20,197.00,1,0,0
74,3.320,79.60,264.00,1,0,0
77,3.320,59.20,195.00,1,0,0
79,3.280,67.50,198.00,1,0,0
82,3.320,59.50,198.00,1,0,0
84,3.320,59.50,198.00,1,0,0
87,3.320,59.50,197.00,1,0,0
89,3.320,59.10,197.00,1,0,0
92,3.320,59.10,197.00,1,0,0
94,3.320,59.20,195.00,1,0,0
97,3.316,59.70,272.00,1,0,0
99,3.284,59.80,198.00,1,0,0
102,3.320,59.50,198.00,1,0,0
104,3.320,59.30,197.00,1,0,0
106,3.320,59.20,197.00,1,0,0
109,3.320,59.20,197.00,1,0,0
111,3.320,59.20,197.00,1,0,0
114,3.320,66.70,221.00,1,0,0
116,3.320,59.70,198.00,1,0,0
129,3.320,59.50,198.00,1,0,0
131,3.320,59.50,198.00,1,0,0
134,3.320,59.50,251.00,1,0,0
136,3.300,59.20,197.00,1,0,0
139,3.284,133.20,442.00,1,0,0
141,3.320,59.20,197.00,1,0,0
144,3.320,59.40,197.00,1,0,0
146,3.320,59.40,197.00,1,0,0
149,3.320,59.50,198.00,1,0,0
151,3.320,59.50,198.00,1,0,0
154,3.320,59.20,197.00,1,0,0
156,3.304,59.20,195.00,1,0,0
159,3.284,71.70,238.00,1,0,0
161,3.320,59.50,198.00,1,0,0
164,3.320,59.50,198.00,1,0,0
166,3.320,59.50,198.00,1,0,0
168,3.320,59.30,197.00,1,0,0
171,3.320,59.20,197.00,1,0,0
173,3.320,59.20,197.00,1,0,0
186,3.320,59.10,197.00,1,0,0
189,3.320,59.20,197.00,1,0,0
191,3.316,59.20,197.00,1,0,0
