timestamp_ms,voltage_V,current_mA,power_mW,marker_ble,marker_wifi,marker_sleep
0,3.316,57.80,192.00,1,0,0
3,3.316,57.80,192.00,1,0,0
6,3.316,58.10,193.00,1,0,0
8,3.316,58.00,192.00,1,0,0
11,3.316,58.10,193.00,1,0,0
13,3.316,57.80,192.00,1,0,0
16,3.316,57.70,192.00,1,0,0
18,3.316,57.80,192.00,1,0,0
21,3.316,58.10,193.00,1,0,0
23,3.316,58.00,192.00,1,0,0
26,3.316,58.10,193.00,1,0,0
28,3.316,58.10,192.00,1,0,0
30,3.316,57.70,192.00,1,0,0
33,3.316,57.80,192.00,1,0,0
35,3.316,57.70,192.00,1,0,0
38,3.316,58.00,192.00,1,0,0
40,3.312,58.10,193.00,1,0,0
43,3.316,58.10,193.00,1,0,0
45,3.316,57.70,192.00,1,0,0
48,3.316,57.70,192.00,1,0,0
50,3.316,57.70,192.00,1,0,0
53,3.316,58.00,192.00,1,0,0
55,3.316,58.10,193.00,1,0,0
58,3.316,58.10,193.00,1,0,0
70,3.316,58.00,193.00,1,0,0
73,3.316,58.00,192.00,1,0,0
75,3.316,58.10,193.00,1,0,0
78,3.316,57.90,192.00,1,0,0
80,3.316,57.80,192.00,1,0,0
83,3.316,57.80,192.00,1,0,0
85,3.316,57.80,192.00,1,0,0
88,3.316,58.10,193.00,1,0,0
90,3.316,58.20,193.00,1,0,0
93,3.316,58.10,193.00,1,0,0
95,3.316,92.30,192.00,1,0,0
97,3.316,57.90,192.00,1,0,0
100,3.316,57.70,192.00,1,0,0
102,3.316,58.10,193.00,1,0,0
105,3.316,58.20,193.00,1,0,0
107,3.316,58.10,193.00,1,0,0
110,3.316,58.80,192.00,1,0,0
112,3.316,57.80,192.00,1,0,0
115,3.316,57.80,192.00,1,0,0
117,3.316,57.80,192.00,1,0,0
120,3.316,58.20,193.00,1,0,0
132,3.316,57.70,192.00,1,0,0
135,3.316,58.10,193.00,1,0,0
137,3.316,58.10,193.00,1,0,0
140,3.316,58.10,193.00,1,0,0
142,3.316,58.00,192.00,1,0,0
145,3.316,91.70,305.00,1,0,0
147,3.316,57.80,192.00,1,0,0
150,3.316,57.80,192.00,1,0,0
152,3.316,58.10,193.00,1,0,0
155,3.316,58.10,193.00,1,0,0
157,3.316,58.10,193.00,1,0,0
160,3.316,57.80,192.00,1,0,0
162,3.316,57.70,192.00,1,0,0
165,3.316,57.80,192.00,1,0,0
167,3.316,58.00,192.00,1,0,0
169,3.316,58.80,193.00,1,0,0
172,3.316,58.00,193.00,1,0,0
174,3.316,58.10,193.00,1,0,0
177,3.316,57.80,192.00,1,0,0
190,3.316,58.80,195.00,1,0,0
192,3.316,58.00,192.00,1,0,0
194,3.316,89.00,295.00,1,0,0
197,3.316,57.70,192.00,1,0,0
199,3.316,57.70,193.00,1,0,0
202,3.320,58.10,193.00,1,0,0
204,3.316,58.20,193.00,1,0,0
207,3.316,58.10,193.00,1,0,0
209,3.316,57.70,192.00,1,0,0
212,3.316,57.80,192.00,1,0,0
