timestamp_ms,voltage_V,current_mA,power_mW,marker_ble,marker_wifi,marker_sleep
0,3.204,299.70,962.00,1,0,0
2,3.204,298.20,955.00,1,0,0
5,3.204,298.90,958.00,1,0,0
7,3.204,298.00,955.00,1,0,0
9,3.204,298.10,955.00,1,0,0
12,3.204,298.50,957.00,1,0,0
14,3.204,299.10,960.00,1,0,0
17,3.204,298.60,957.00,1,0,0
19,3.204,299.10,960.00,1,0,0
22,3.212,161.30,1158.00,1,0,0
24,3.176,370.60,1176.00,1,0,0
27,3.176,376.00,1194.00,1,0,0
29,3.176,375.40,1189.00,1,0,0
32,3.176,376.60,1196.00,1,0,0
34,3.172,376.10,1194.00,1,0,0
37,3.188,171.10,1183.00,1,0,0
39,3.172,381.00,1209.00,1,0,0
42,3.172,386.00,1226.00,1,0,0
54,3.168,392.80,1245.00,1,0,0
57,3.168,396.20,1250.00,1,0,0
59,3.168,396.80,1257.00,1,0,0
62,3.168,397.30,1258.00,1,0,0
64,3.168,396.80,1265.00,1,0,0
67,3.192,387.30,1227.00,1,0,0
69,3.168,390.10,1235.00,1,0,0
72,3.168,392.30,1240.00,1,0,0
74,3.168,393.50,1247.00,1,0,0
77,3.168,393.20,1245.00,1,0,0
79,3.168,392.40,1260.00,1,0,0
82,3.200,215.80,1230.00,1,0,0
84,3.168,383.00,1216.00,1,0,0
87,3.172,384.60,1221.00,1,0,0
89,3.172,383.60,1226.00,1,0,0
91,3.172,385.90,1224.00,1,0,0
104,3.172,390.00,1237.00,1,0,0
107,3.172,389.00,1234.00,1,0,0
109,3.172,388.40,1268.00,1,0,0
112,3.252,400.00,1267.00,1,0,0
114,3.168,397.50,1260.00,1,0,0
117,3.168,397.10,1262.00,1,0,0
119,3.164,398.40,1262.00,1,0,0
121,3.168,397.70,1260.00,1,0,0
124,3.168,395.70,1042.00,1,0,0
126,3.240,400.00,1267.00,1,0,0
129,3.168,399.50,1263.00,1,0,0
131,3.164,399.20,1267.00,1,0,0
134,3.168,400.00,1265.00,1,0,0
136,3.168,399.80,1265.00,1,0,0
149,3.160,400.00,1263.00,1,0,0
151,3.160,400.00,1263.00,1,0,0
154,3.160,400.00,978.00,1,0,0
156,3.228,400.00,1263.00,1,0,0
159,3.156,400.00,1263.00,1,0,0
161,3.156,400.00,1263.00,1,0,0
164,3.160,400.00,1263.00,1,0,0
166,3.156,400.00,1263.00,1,0,0
169,3.160,400.00,942.00,1,0,0
171,3.220,400.00,1263.00,1,0,0
174,3.160,400.00,1263.00,1,0,0
176,3.160,400.00,1263.00,1,0,0
179,3.156,400.00,1263.00,1,0,0
181,3.160,400.00,1263.00,1,0,0
194,3.160,400.00,1263.00,1,0,0
196,3.160,400.00,1263.00,1,0,0
199,3.160,400.00,831.00,1,0,0
201,3.204,400.00,1263.00,1,0,0
204,3.160,400.00,1263.00,1,0,0
206,3.160,400.00,1263.00,1,0,0
209,3.160,400.00,1263.00,1,0,0
211,3.156,400.00,1263.00,1,0,0
214,3.160,400.00,795.00,1,0,0
216,3.196,400.00,1263.00,1,0,0
218,3.160,400.00,1263.00,1,0,0
221,3.156,400.00,1263.00,1,0,0
223,3.156,400.00,1263.00,1,0,0
226,3.156,400.00,1263.00,1,0,0
239,3.292,85.70,283.00,1,0,0
241,3.296,89.90,295.00,1,0,0
244,3.276,124.80,406.00,1,0,0
246,3.292,125.10,410.00,1,0,0
248,3.272,99.10,324.00,1,0,0
251,3.272,124.90,395.00,1,0,0
253,3.288,124.30,406.00,1,0,0
256,3.280,102.90,338.00,1,0,0
258,3.272,124.80,357.00,1,0,0
261,3.284,123.30,403.00,1,0,0
263,3.292,113.60,372.00,1,0,0
266,3.272,123.80,547.00,1,0,0
268,3.284,210.50,682.00,1,0,0
271,3.240,213.60,691.00,1,0,0
273,3.236,213.30,698.00,1,0,0
276,3.240,212.90,688.00,1,0,0
278,3.296,127.30,416.00,1,0,0
291,3.272,125.90,411.00,1,0,0
293,3.272,125.80,411.00,1,0,0
296,3.272,73.20,241.00,1,0,0
298,3.296,97.80,323.00,1,0,0
301,3.284,126.30,413.00,1,0,0
303,3.272,117.60,269.00,1,0,0
306,3.300,74.80,247.00,1,0,0
308,3.300,67.20,223.00,1,0,0
311,3.316,59.80,198.00,1,0,0
313,3.320,59.70,198.00,1,0,0
316,3.320,59.60,198.00,1,0,0
318,3.320,59.60,198.00,1,0,0
321,3.320,59.60,198.00,1,0,0
323,3.320,59.60,198.00,1,0,0
325,3.320,59.60,198.00,1,0,0
328,3.320,59.60,198.00,1,0,0
330,3.320,59.50,198.00,1,0,0
333,3.320,59.40,198.00,1,0,0
346,3.320,59.50,197.00,1,0,0
348,3.320,59.40,197.00,1,0,0
350,3.320,59.30,197.00,1,0,0
353,3.320,59.30,197.00,1,0,0
355,3.320,59.40,197.00,1,0,0
358,3.320,59.40,197.00,1,0,0
360,3.320,59.30,197.00,1,0,0
363,3.320,59.30,197.00,1,0,0
365,3.316,59.30,197.00,1,0,0
368,3.320,59.30,197.00,1,0,0
370,3.320,59.20,197.00,1,0,0
373,3.320,59.30,197.00,1,0,0
375,3.320,59.30,197.00,1,0,0
378,3.320,59.30,197.00,1,0,0
380,3.320,59.30,197.00,1,0,0
383,3.320,59.30,197.00,1,0,0
385,3.320,59.20,197.00,1,0,0
388,3.320,59.30,197.00,1,0,0
390,3.320,59.30,197.00,1,0,0
403,3.320,59.30,197.00,1,0,0
405,3.320,59.20,197.00,1,0,0
408,3.320,59.20,197.00,1,0,0
410,3.320,59.30,197.00,1,0,0
413,3.320,59.10,197.00,1,0,0
415,3.320,59.10,197.00,1,0,0
418,3.320,59.10,197.00,1,0,0
420,3.320,59.20,197.00,1,0,0
422,3.320,59.20,197.00,1,0,0
425,3.320,59.30,197.00,1,0,0
427,3.320,59.10,197.00,1,0,0
