timestamp_ms,voltage_V,current_mA,power_mW,marker_ble,marker_wifi,marker_sleep
0,3.308,61.90,205.00,1,0,1
3,3.304,62.00,205.00,1,0,1
5,3.304,61.90,205.00,1,0,1
8,3.304,61.90,205.00,1,0,1
10,3.308,61.70,203.00,1,0,1
13,3.304,61.80,205.00,1,0,1
15,3.304,61.90,205.00,1,0,1
17,3.308,61.90,205.00,1,0,1
20,3.308,62.00,205.00,1,0,1
22,3.304,61.90,205.00,1,0,1
25,3.304,61.80,205.00,1,0,1
27,3.304,61.80,205.00,1,0,1
30,3.308,62.30,205.00,1,0,1
32,3.308,61.90,205.00,1,0,1
35,3.308,62.00,205.00,1,0,1
37,3.308,62.00,205.00,1,0,1
40,3.284,99.20,313.00,1,0,1
42,3.284,61.90,205.00,1,0,1
45,3.308,61.90,205.00,1,0,1
47,3.308,62.00,205.00,1,0,1
50,3.304,65.40,216.00,1,1,0
52,3.264,101.10,333.00,1,1,0
54,3.280,98.50,321.00,1,1,0
67,3.284,97.90,321.00,1,1,0
70,3.284,98.00,321.00,1,1,0
72,3.284,98.00,321.00,1,1,0
74,3.284,97.90,321.00,1,1,0
77,3.284,97.40,324.00,1,1,0
79,3.284,98.70,324.00,1,1,0
82,3.288,99.50,326.00,1,1,0
84,3.284,90.20,298.00,1,1,0
87,3.284,98.60,324.00,1,1,0
89,3.284,98.50,323.00,1,1,0
92,3.284,97.90,321.00,1,1,0
94,3.284,98.20,323.00,1,1,0
97,3.284,98.60,324.00,1,1,0
99,3.284,98.40,323.00,1,1,0
102,3.284,106.00,347.00,1,0,1
104,3.284,98.50,323.00,1,0,1
107,3.284,128.30,421.00,1,1,0
109,3.284,95.40,324.00,1,1,0
112,3.284,100.60,331.00,1,1,0
114,3.280,100.00,328.00,1,1,0
127,3.284,98.30,323.00,1,1,0
129,3.284,98.30,323.00,1,1,0
132,3.284,98.10,323.00,1,1,0
134,3.284,99.40,326.00,1,1,0
136,3.284,98.80,323.00,1,1,0
139,3.284,98.00,321.00,1,1,0
141,3.280,93.70,308.00,1,1,0
144,3.280,98.10,324.00,1,1,0
146,3.284,98.20,324.00,1,1,0
149,3.284,98.40,323.00,1,1,0
151,3.284,98.10,323.00,1,1,0
154,3.284,99.80,326.00,1,1,0
156,3.284,98.00,321.00,1,0,1
159,3.284,110.30,362.00,1,0,1
161,3.284,98.80,328.00,1,1,0
164,3.284,94.80,311.00,1,1,0
166,3.284,98.40,323.00,1,1,0
169,3.284,98.50,321.00,1,1,0
171,3.284,98.00,321.00,1,1,0
184,3.284,99.70,328.00,1,1,0
186,3.284,90.10,297.00,1,1,0
189,3.284,94.30,301.00,1,1,0
191,3.284,92.10,303.00,1,1,0
194,3.284,98.30,323.00,1,1,0
196,3.284,96.60,324.00,1,1,0
199,3.284,98.10,323.00,1,1,0
201,3.284,98.60,324.00,1,1,0
203,3.284,101.60,334.00,1,1,0
206,3.284,100.90,324.00,1,1,0
208,3.284,98.40,323.00,1,1,0
