timestamp_ms,voltage_V,current_mA,power_mW,marker_ble,marker_wifi,marker_sleep
0,3.308,143.20,467.00,1,0,1
3,3.292,105.80,351.00,1,0,1
5,3.308,62.20,205.00,1,0,1
8,3.308,71.70,238.00,1,0,0
10,3.312,62.00,205.00,1,0,0
12,3.312,62.00,205.00,1,0,0
15,3.308,61.90,205.00,1,0,0
17,3.312,61.90,205.00,1,0,1
20,3.308,62.10,323.00,1,0,1
22,3.272,111.10,367.00,1,0,1
25,3.308,62.20,206.00,1,0,1
27,3.308,62.10,246.00,1,0,0
30,3.308,62.00,205.00,1,0,0
32,3.308,61.90,205.00,1,0,0
35,3.312,61.90,205.00,1,0,0
37,3.312,63.00,208.00,1,0,1
40,3.312,62.10,205.00,1,0,1
42,3.264,104.30,472.00,1,0,1
45,3.284,62.10,206.00,1,0,1
47,3.312,62.10,205.00,1,0,0
49,3.308,62.00,205.00,1,0,0
52,3.312,62.00,205.00,1,0,0
54,3.312,62.00,205.00,1,0,0
67,3.312,62.50,206.00,1,0,0
70,3.312,62.00,205.00,1,0,0
72,3.308,62.00,205.00,1,0,0
74,3.312,62.00,205.00,1,0,0
77,3.308,62.00,205.00,1,0,1
79,3.308,62.10,205.00,1,0,1
82,3.308,105.00,346.00,1,0,1
84,3.292,101.00,333.00,1,0,1
87,3.280,77.40,226.00,1,0,0
89,3.304,62.10,206.00,1,0,0
92,3.312,62.00,205.00,1,0,0
94,3.308,62.00,206.00,1,0,0
97,3.312,62.00,205.00,1,0,1
99,3.308,62.10,205.00,1,0,1
102,3.312,62.10,205.00,1,0,1
104,3.308,62.10,206.00,1,0,1
107,3.312,62.10,206.00,1,0,0
109,3.308,133.30,436.00,1,0,0
111,3.268,64.80,205.00,1,0,0
114,3.308,62.10,206.00,1,0,0
116,3.308,62.10,206.00,1,0,1
129,3.312,62.00,205.00,1,0,0
132,3.312,62.00,244.00,1,0,0
134,3.272,132.10,437.00,1,0,0
136,3.308,62.10,206.00,1,0,1
139,3.308,62.10,206.00,1,0,1
141,3.312,62.10,205.00,1,0,1
144,3.308,62.20,206.00,1,0,1
146,3.308,62.10,206.00,1,0,0
149,3.296,62.10,206.00,1,0,0
151,3.312,62.00,205.00,1,0,0
154,3.312,62.00,205.00,1,0,0
156,3.312,62.00,203.00,1,0,1
159,3.264,142.30,467.00,1,0,1
161,3.308,62.20,206.00,1,0,1
164,3.308,62.10,206.00,1,0,1
166,3.312,62.10,205.00,1,0,0
169,3.304,62.10,206.00,1,0,0
171,3.308,62.10,205.00,1,0,0
184,3.312,62.20,206.00,1,0,1
186,3.288,99.20,324.00,1,0,0
189,3.288,90.90,300.00,1,0,0
191,3.312,61.90,205.00,1,0,0
194,3.308,62.00,205.00,1,0,0
196,3.312,62.00,205.00,1,0,1
198,3.312,62.20,206.00,1,0,1
201,3.308,62.20,434.00,1,0,1
203,3.292,62.30,206.00,1,0,1
206,3.308,62.00,205.00,1,0,0
208,3.308,74.40,205.00,1,0,0
211,3.308,62.00,205.00,1,0,0
213,3.312,62.10,206.00,1,0,0
216,3.312,62.10,205.00,1,0,1
218,3.308,62.20,206.00,1,0,1
221,3.308,62.00,205.00,1,0,1
223,3.308,62.00,478.00,1,0,1
226,3.288,67.00,221.00,1,0,1
228,3.308,63.70,211.00,1,0,0
241,3.308,62.00,205.00,1,0,1
243,3.312,62.10,206.00,1,0,1
246,3.308,62.10,206.00,1,0,0
248,3.312,143.20,470.00,1,0,0
251,3.308,62.10,205.00,1,0,0
