timestamp_ms,voltage_V,current_mA,power_mW,marker_ble,marker_wifi,marker_sleep
0,3.168,387.10,1226.00,1,0,0
3,3.220,266.70,1265.00,1,0,0
5,3.164,397.80,1260.00,1,0,0
8,3.164,395.10,1250.00,1,0,0
10,3.168,397.30,1263.00,1,0,0
13,3.164,395.60,1253.00,1,0,0
15,3.164,396.70,1255.00,1,0,0
18,3.268,362.60,1265.00,1,0,0
20,3.164,399.00,1263.00,1,0,0
23,3.164,397.70,1258.00,1,0,0
25,3.164,400.00,1265.00,1,0,0
28,3.164,397.40,1257.00,1,0,0
30,3.164,399.50,1263.00,1,0,0
32,3.264,368.40,1263.00,1,0,0
35,3.160,400.00,1263.00,1,0,0
37,3.160,400.00,1263.00,1,0,0
40,3.160,400.00,1263.00,1,0,0
53,3.156,400.00,1263.00,1,0,0
55,3.156,400.00,1263.00,1,0,0
58,3.156,400.00,1263.00,1,0,0
60,3.156,400.00,1263.00,1,0,0
62,3.260,384.30,1263.00,1,0,0
65,3.160,400.00,1263.00,1,0,0
67,3.156,400.00,1263.00,1,0,0
70,3.160,400.00,1263.00,1,0,0
72,3.156,400.00,1263.00,1,0,0
75,3.160,400.00,1263.00,1,0,0
77,3.252,394.50,1263.00,1,0,0
80,3.160,400.00,1263.00,1,0,0
82,3.160,400.00,1263.00,1,0,0
85,3.160,400.00,1263.00,1,0,0
87,3.160,400.00,1263.00,1,0,0
90,3.160,400.00,1263.00,1,0,0
102,3.156,400.00,1263.00,1,0,0
105,3.156,400.00,1263.00,1,0,0
107,3.240,400.00,1262.00,1,0,0
110,3.152,400.00,1262.00,1,0,0
112,3.152,400.00,1262.00,1,0,0
115,3.152,400.00,1262.00,1,0,0
117,3.152,400.00,1262.00,1,0,0
120,3.152,400.00,1262.00,1,0,0
122,3.276,194.00,682.00,1,0,0
125,3.228,253.60,816.00,1,0,0
127,3.212,211.00,695.00,1,0,0
129,3.296,96.50,315.00,1,0,0
132,3.296,110.20,360.00,1,0,0
134,3.276,124.30,406.00,1,0,0
137,3.276,117.50,385.00,1,0,0
150,3.272,125.00,411.00,1,0,0
152,3.276,124.80,410.00,1,0,0
154,3.272,113.00,370.00,1,0,0
157,3.272,125.00,410.00,1,0,0
159,3.260,119.30,693.00,1,0,0
162,3.236,212.20,688.00,1,0,0
164,3.236,215.00,696.00,1,0,0
167,3.236,213.80,698.00,1,0,0
169,3.236,84.60,277.00,1,0,0
172,3.288,77.00,254.00,1,0,0
174,3.272,126.50,413.00,1,0,0
177,3.272,126.40,413.00,1,0,0
179,3.272,114.40,377.00,1,0,0
182,3.268,126.50,413.00,1,0,0
184,3.272,126.50,413.00,1,0,0
187,3.268,126.40,413.00,1,0,0
199,3.280,61.90,205.00,1,0,0
202,3.248,329.90,1086.00,1,0,0
204,3.296,239.50,395.00,1,0,0
207,3.276,96.60,318.00,1,0,0
209,3.212,98.40,321.00,1,0,0
212,3.292,88.40,288.00,1,0,0
214,3.256,135.70,447.00,1,0,0
217,3.296,96.40,318.00,1,0,0
219,3.276,113.20,319.00,1,0,0
222,3.296,96.80,319.00,1,0,0
224,3.296,96.80,316.00,1,0,0
226,3.296,98.60,328.00,1,0,0
229,3.296,112.50,369.00,1,0,0
231,3.276,97.50,321.00,1,0,0
234,3.276,107.40,352.00,1,0,0
236,3.248,122.30,326.00,1,0,0
239,3.296,234.90,762.00,1,0,0
252,3.276,92.70,305.00,1,0,0
254,3.292,97.90,323.00,1,0,0
256,3.296,99.10,336.00,1,0,0
259,3.296,98.40,324.00,1,0,0
261,3.296,96.80,318.00,1,0,0
264,3.296,96.80,319.00,1,0,0
266,3.296,96.70,319.00,1,0,0
269,3.296,96.60,318.00,1,0,0
271,3.296,96.50,318.00,1,0,0
274,3.296,96.50,318.00,1,0,0
276,3.296,96.40,318.00,1,0,0
279,3.292,96.50,321.00,1,0,0
281,3.296,101.40,334.00,1,0,0
284,3.296,97.10,319.00,1,0,0
286,3.292,97.00,323.00,1,0,0
289,3.296,97.30,321.00,1,0,0
291,3.296,96.90,319.00,1,0,0
