timestamp_ms,voltage_V,current_mA,power_mW,marker_ble,marker_wifi,marker_sleep
0,3.284,95.80,315.00,1,0,0
3,3.284,95.80,315.00,1,0,0
5,3.284,96.60,316.00,1,0,0
8,3.288,95.00,313.00,1,0,0
10,3.288,96.00,316.00,1,0,0
13,3.284,95.50,315.00,1,0,0
15,3.288,96.10,316.00,1,0,0
18,3.284,96.00,315.00,1,0,0
20,3.288,96.40,326.00,1,0,0
23,3.292,98.70,324.00,1,0,0
25,3.288,92.10,303.00,1,0,0
28,3.288,96.20,328.00,1,0,0
30,3.292,95.50,315.00,1,0,0
33,3.288,96.10,316.00,1,0,0
35,3.288,89.60,308.00,1,0,0
38,3.288,96.60,318.00,1,0,0
40,3.288,96.40,315.00,1,0,0
43,3.288,97.00,315.00,1,0,0
45,3.288,97.00,318.00,1,0,0
47,3.288,90.80,301.00,1,0,0
50,3.336,30.50,102.00,1,0,0
52,3.336,30.50,102.00,1,0,0
55,3.336,30.60,102.00,1,0,0
57,3.332,30.50,102.00,1,0,0
70,3.336,30.60,102.00,1,0,0
77,3.336,30.40,102.00,1,0,0
80,3.332,30.40,102.00,1,0,0
82,3.336,30.40,102.00,1,0,0
85,3.332,30.50,102.00,1,0,0
87,3.336,30.60,102.00,1,0,0
90,3.336,57.80,298.00,1,0,0
92,3.288,96.50,318.00,1,0,0
94,3.288,95.60,315.00,1,0,0
97,3.288,95.80,315.00,1,0,0
99,3.288,97.80,321.00,1,0,0
102,3.288,96.40,316.00,1,0,0
104,3.288,96.20,315.00,1,0,0
107,3.284,95.60,315.00,1,0,0
109,3.292,96.00,316.00,1,0,0
112,3.288,95.50,315.00,1,0,0
114,3.288,96.80,318.00,1,0,0
117,3.288,96.30,316.00,1,0,0
119,3.288,96.00,321.00,1,0,0
122,3.288,98.30,323.00,1,0,0
124,3.288,95.80,315.00,1,0,0
127,3.288,95.70,313.00,1,0,0
139,3.288,90.00,297.00,1,0,0
142,3.280,125.20,318.00,1,0,0
144,3.288,95.50,315.00,1,0,0
147,3.292,30.40,102.00,1,0,0
149,3.296,95.70,301.00,1,0,0
152,3.308,30.50,102.00,1,0,0
154,3.336,30.50,102.00,1,0,0
157,3.336,30.50,102.00,1,0,0
159,3.336,30.30,102.00,1,0,0
162,3.332,30.30,102.00,1,0,0
164,3.336,30.30,102.00,1,0,0
166,3.336,30.50,102.00,1,0,0
169,3.336,30.50,102.00,1,0,0
171,3.336,30.50,102.00,1,0,0
174,3.336,30.40,102.00,1,0,0
176,3.336,30.40,102.00,1,0,0
179,3.332,30.30,102.00,1,0,0
181,3.336,30.40,102.00,1,0,0
184,3.336,30.40,102.00,1,0,0
196,3.288,96.40,316.00,1,0,0
199,3.288,95.80,315.00,1,0,0
201,3.288,96.40,315.00,1,0,0
204,3.288,96.50,318.00,1,0,0
206,3.288,95.50,315.00,1,0,0
209,3.288,92.80,321.00,1,0,0
211,3.288,96.00,316.00,1,0,0
214,3.288,95.90,315.00,1,0,0
216,3.288,97.00,328.00,1,0,0
219,3.288,95.90,315.00,1,0,0
221,3.284,95.70,315.00,1,0,0
224,3.288,96.60,319.00,1,0,0
226,3.288,95.80,315.00,1,0,0
229,3.288,97.90,321.00,1,0,0
231,3.284,96.50,311.00,1,0,0
233,3.288,96.40,316.00,1,0,0
236,3.288,97.80,321.00,1,0,0
238,3.288,95.60,315.00,1,0,0
241,3.288,89.20,293.00,1,0,0
254,3.288,46.10,102.00,1,0,0
256,3.336,30.40,102.00,1,0,0
259,3.336,30.40,102.00,1,0,0
261,3.336,30.40,102.00,1,0,0
263,3.340,30.50,102.00,1,0,0
266,3.336,30.50,102.00,1,0,0
268,3.336,30.50,102.00,1,0,0
271,3.336,30.50,102.00,1,0,0
273,3.336,30.50,102.00,1,0,0
276,3.336,30.40,102.00,1,0,0
278,3.336,30.30,102.00,1,0,0
281,3.336,30.50,102.00,1,0,0
283,3.336,30.50,102.00,1,0,0
286,3.336,30.60,102.00,1,0,0
288,3.336,30.50,102.00,1,0,0
291,3.332,30.50,102.00,1,0,0
293,3.336,30.30,100.00,1,0,0
296,3.288,96.20,316.00,1,0,0
298,3.288,96.00,315.00,1,0,0
311,3.288,97.40,319.00,1,0,0
313,3.288,95.80,316.00,1,0,0
316,3.288,96.80,318.00,1,0,0
318,3.288,95.50,315.00,1,0,0
321,3.288,95.70,313.00,1,0,0
323,3.288,95.90,315.00,1,0,0
326,3.288,96.90,318.00,1,0,0
328,3.288,96.90,326.00,1,0,0
331,3.288,95.90,315.00,1,0,0
333,3.284,95.50,313.00,1,0,0
335,3.288,98.60,315.00,1,0,0
338,3.288,95.60,315.00,1,0,0
340,3.288,89.90,295.00,1,0,0
343,3.284,93.10,316.00,1,0,0
345,3.288,132.00,434.00,1,0,0
348,3.288,95.90,315.00,1,0,0
350,3.288,95.90,215.00,1,0,0
353,3.336,96.20,316.00,1,0,0
355,3.288,52.60,175.00,1,0,0
368,3.336,30.50,102.00,1,0,0
370,3.336,30.50,102.00,1,0,0
373,3.336,30.40,102.00,1,0,0
375,3.332,30.40,102.00,1,0,0
378,3.336,30.50,102.00,1,0,0
380,3.336,30.50,102.00,1,0,0
383,3.332,30.50,102.00,1,0,0
385,3.336,30.40,102.00,1,0,0
388,3.336,30.50,102.00,1,0,0
390,3.336,30.40,102.00,1,0,0
393,3.336,30.40,102.00,1,0,0
395,3.296,97.90,328.00,1,0,0
398,3.292,99.70,328.00,1,0,0
400,3.288,95.40,313.00,1,0,0
403,3.288,95.40,315.00,1,0,0
405,3.288,95.80,315.00,1,0,0
407,3.288,96.70,318.00,1,0,0
410,3.288,95.80,318.00,1,0,0
412,3.288,98.00,323.00,1,0,0
425,3.284,97.10,319.00,1,0,0
428,3.288,96.30,316.00,1,0,0
430,3.288,99.70,328.00,1,0,0
432,3.288,95.40,318.00,1,0,0
435,3.288,95.30,313.00,1,0,0
437,3.288,95.90,315.00,1,0,0
440,3.292,97.10,316.00,1,0,0
442,3.288,89.50,295.00,1,0,0
445,3.288,93.30,306.00,1,0,0
447,3.284,100.70,316.00,1,0,0
450,3.288,95.50,315.00,1,0,0
452,3.336,30.40,102.00,1,0,0
455,3.336,30.50,264.00,1,0,0
457,3.288,90.00,297.00,1,0,0
460,3.292,30.40,102.00,1,0,0
462,3.336,30.40,102.00,1,0,0
465,3.332,30.50,102.00,1,0,0
467,3.336,30.50,102.00,1,0,0
470,3.332,30.50,102.00,1,0,0
482,3.336,30.50,102.00,1,0,0
485,3.336,30.40,102.00,1,0,0
487,3.332,30.50,102.00,1,0,0
490,3.332,30.50,102.00,1,0,0
492,3.332,30.40,102.00,1,0,0
495,3.336,110.30,362.00,1,0,0
497,3.288,95.40,313.00,1,0,0
499,3.288,98.30,313.00,1,0,0
502,3.288,96.10,316.00,1,0,0
504,3.288,96.40,316.00,1,0,0
507,3.288,98.00,319.00,1,0,0
509,3.288,93.50,308.00,1,0,0
512,3.288,95.90,315.00,1,0,0
514,3.284,95.60,311.00,1,0,0
517,3.288,96.00,316.00,1,0,0
519,3.284,96.10,316.00,1,0,0
522,3.284,96.90,316.00,1,0,0
524,3.288,96.00,316.00,1,0,0
527,3.288,95.70,315.00,1,0,0
539,3.284,96.80,318.00,1,0,0
542,3.284,96.00,315.00,1,0,0
544,3.288,91.40,300.00,1,0,0
547,3.288,112.00,367.00,1,0,0
549,3.288,95.60,315.00,1,0,0
552,3.288,96.10,274.00,1,0,0
554,3.332,30.50,102.00,1,0,0
557,3.332,30.40,102.00,1,0,0
559,3.288,96.10,316.00,1,0,0
562,3.332,30.50,102.00,1,0,0
564,3.332,30.50,102.00,1,0,0
567,3.332,30.40,102.00,1,0,0
569,3.336,30.40,102.00,1,0,0
572,3.336,30.50,102.00,1,0,0
574,3.332,30.50,102.00,1,0,0
576,3.332,30.50,102.00,1,0,0
579,3.336,30.50,102.00,1,0,0
581,3.336,30.50,102.00,1,0,0
584,3.332,30.30,102.00,1,0,0
596,3.288,116.20,382.00,1,0,0
599,3.288,95.60,315.00,1,0,0
601,3.288,95.90,315.00,1,0,0
604,3.288,96.00,318.00,1,0,0
606,3.288,96.50,316.00,1,0,0
609,3.288,96.50,318.00,1,0,0
611,3.284,95.30,316.00,1,0,0
614,3.288,95.80,315.00,1,0,0
616,3.288,95.60,315.00,1,0,0
619,3.288,96.40,315.00,1,0,0
621,3.288,96.70,318.00,1,0,0
624,3.288,95.70,315.00,1,0,0
626,3.288,96.20,313.00,1,0,0
629,3.288,95.50,315.00,1,0,0
631,3.288,98.20,323.00,1,0,0
634,3.288,97.10,308.00,1,0,0
636,3.288,95.40,313.00,1,0,0
639,3.288,95.90,315.00,1,0,0
641,3.288,95.80,324.00,1,0,0
654,3.288,96.10,324.00,1,0,0
656,3.332,30.40,102.00,1,0,0
659,3.332,30.50,102.00,1,0,0
661,3.288,95.80,318.00,1,0,0
664,3.320,30.50,102.00,1,0,0
666,3.336,30.40,102.00,1,0,0
669,3.336,30.40,102.00,1,0,0
671,3.332,30.50,102.00,1,0,0
673,3.332,30.50,102.00,1,0,0
676,3.332,30.50,102.00,1,0,0
678,3.336,30.50,102.00,1,0,0
681,3.332,30.50,102.00,1,0,0
683,3.336,30.30,102.00,1,0,0
686,3.336,30.50,102.00,1,0,0
688,3.336,30.50,102.00,1,0,0
691,3.336,30.50,102.00,1,0,0
693,3.336,30.50,131.00,1,0,0
696,3.276,95.40,313.00,1,0,0
698,3.288,96.40,316.00,1,0,0
711,3.288,95.80,315.00,1,0,0
713,3.284,95.90,319.00,1,0,0
716,3.292,97.00,319.00,1,0,0
718,3.284,97.60,321.00,1,0,0
721,3.288,101.30,316.00,1,0,0
723,3.288,96.20,316.00,1,0,0
726,3.288,95.80,315.00,1,0,0
728,3.288,96.30,316.00,1,0,0
731,3.288,96.10,318.00,1,0,0
733,3.288,95.80,315.00,1,0,0
736,3.288,96.40,316.00,1,0,0
738,3.288,96.00,315.00,1,0,0
740,3.288,95.40,313.00,1,0,0
743,3.288,95.60,315.00,1,0,0
745,3.284,95.90,323.00,1,0,0
748,3.288,96.90,318.00,1,0,0
750,3.288,91.90,303.00,1,0,0
753,3.336,30.40,102.00,1,0,0
755,3.336,30.60,102.00,1,0,0
768,3.336,30.40,102.00,1,0,0
771,3.336,30.50,102.00,1,0,0
773,3.336,30.50,102.00,1,0,0
775,3.336,30.50,102.00,1,0,0
778,3.336,30.40,102.00,1,0,0
780,3.336,30.40,102.00,1,0,0
783,3.336,30.30,102.00,1,0,0
785,3.336,30.40,102.00,1,0,0
788,3.336,30.60,102.00,1,0,0
790,3.336,30.60,102.00,1,0,0
793,3.336,30.40,102.00,1,0,0
795,3.284,97.20,319.00,1,0,0
798,3.288,100.30,321.00,1,0,0
800,3.288,95.70,315.00,1,0,0
803,3.288,95.40,313.00,1,0,0
805,3.284,95.50,315.00,1,0,0
808,3.288,95.40,313.00,1,0,0
810,3.288,95.80,315.00,1,0,0
813,3.288,96.50,316.00,1,0,0
825,3.288,96.80,316.00,1,0,0
828,3.288,95.90,315.00,1,0,0
830,3.284,97.30,319.00,1,0,0
833,3.288,95.90,315.00,1,0,0
835,3.288,96.00,316.00,1,0,0
838,3.288,95.80,315.00,1,0,0
840,3.288,95.80,316.00,1,0,0
842,3.288,95.90,315.00,1,0,0
845,3.288,96.20,316.00,1,0,0
847,3.288,130.80,429.00,1,0,0
