timestamp_ms,voltage_V,current_mA,power_mW,marker_ble,marker_wifi,marker_sleep
4,3.292,95.10,313.00,1,0,0
7,3.292,94.80,311.00,1,0,0
9,3.292,96.00,316.00,1,0,0
12,3.292,94.90,313.00,1,0,0
14,3.292,100.30,329.00,1,0,0
17,3.292,95.20,313.00,1,0,0
19,3.292,95.20,313.00,1,0,0
22,3.292,94.90,313.00,1,0,0
24,3.292,94.90,313.00,1,0,0
26,3.292,95.00,313.00,1,0,0
29,3.292,89.20,293.00,1,0,0
31,3.292,95.40,315.00,1,0,0
34,3.292,96.00,316.00,1,0,0
36,3.292,96.10,316.00,1,0,0
39,3.292,95.70,315.00,1,0,0
41,3.292,95.60,315.00,1,0,0
44,3.292,95.60,315.00,1,0,0
46,3.292,95.90,316.00,1,0,0
49,3.284,95.10,313.00,1,0,0
51,3.292,99.40,334.00,1,0,0
54,3.296,99.10,326.00,1,0,0
56,3.292,96.20,316.00,1,0,0
59,3.292,95.40,319.00,1,0,0
71,3.296,106.80,316.00,1,0,0
74,3.292,95.10,313.00,1,0,0
76,3.292,95.10,313.00,1,0,0
79,3.292,95.10,329.00,1,0,0
81,3.292,98.80,326.00,1,0,0
84,3.296,95.80,315.00,1,0,0
86,3.292,95.10,313.00,1,0,0
89,3.296,94.80,313.00,1,0,0
91,3.296,98.30,324.00,1,0,0
93,3.296,98.50,324.00,1,0,0
96,3.276,95.50,313.00,1,0,0
98,3.292,95.20,315.00,1,0,0
101,3.292,95.10,313.00,1,0,0
103,3.292,95.60,321.00,1,0,0
106,3.292,95.00,313.00,1,0,0
108,3.292,95.10,313.00,1,0,0
111,3.292,94.80,313.00,1,0,0
113,3.292,95.60,315.00,1,0,0
116,3.292,96.00,316.00,1,0,0
118,3.296,98.60,378.00,1,0,0
121,3.292,95.20,313.00,1,0,0
133,3.292,95.10,313.00,1,0,0
136,3.292,95.70,315.00,1,0,0
138,3.284,94.80,316.00,1,0,0
141,3.292,95.50,315.00,1,0,0
143,3.292,95.10,313.00,1,0,0
146,3.292,95.40,315.00,1,0,0
148,3.292,96.00,315.00,1,0,0
151,3.292,93.50,308.00,1,0,0
153,3.292,96.00,316.00,1,0,0
156,3.292,97.30,315.00,1,0,0
158,3.292,95.60,315.00,1,0,0
160,3.292,95.00,313.00,1,0,0
163,3.292,95.30,313.00,1,0,0
165,3.292,95.00,313.00,1,0,0
168,3.296,95.60,315.00,1,0,0
170,3.292,95.60,295.00,1,0,0
173,3.296,95.00,313.00,1,0,0
175,3.288,95.20,313.00,1,0,0
178,3.284,94.90,321.00,1,0,0
190,3.292,97.40,315.00,1,0,0
193,3.296,98.80,326.00,1,0,0
195,3.296,95.50,315.00,1,0,0
198,3.292,98.60,324.00,1,0,0
200,3.296,95.10,313.00,1,0,0
203,3.292,95.20,313.00,1,0,0
205,3.292,95.90,316.00,1,0,0
208,3.292,95.10,313.00,1,0,0
210,3.292,94.90,313.00,1,0,0
213,3.292,95.10,313.00,1,0,0
215,3.292,99.30,313.00,1,0,0
218,3.292,95.40,315.00,1,0,0
220,3.292,96.10,316.00,1,0,0
223,3.292,95.40,315.00,1,0,0
225,3.292,96.20,318.00,1,0,0
227,3.292,95.40,315.00,1,0,0
230,3.292,95.80,315.00,1,0,0
232,3.296,89.20,293.00,1,0,0
235,3.292,100.50,331.00,1,0,0
248,3.292,95.20,313.00,1,0,0
250,3.292,95.20,326.00,1,0,0
252,3.296,96.80,315.00,1,0,0
255,3.292,106.00,349.00,1,0,0
257,3.296,97.10,319.00,1,0,0
260,3.292,94.70,316.00,1,0,0
262,3.292,99.10,326.00,1,0,0
265,3.296,95.10,313.00,1,0,0
267,3.292,95.90,315.00,1,0,0
270,3.296,98.10,323.00,1,0,0
272,3.292,93.90,310.00,1,0,0
275,3.296,87.50,295.00,1,0,0
277,3.284,95.60,315.00,1,0,0
280,3.292,95.10,313.00,1,0,0
282,3.292,99.00,326.00,1,0,0
285,3.296,95.40,315.00,1,0,0
287,3.292,95.70,315.00,1,0,0
290,3.292,97.60,328.00,1,0,0
292,3.292,95.20,313.00,1,0,0
305,3.292,94.90,313.00,1,0,0
307,3.292,95.00,313.00,1,0,0
310,3.292,95.40,315.00,1,0,0
312,3.292,95.10,326.00,1,0,0
315,3.296,103.60,341.00,1,0,0
317,3.292,95.10,311.00,1,0,0
319,3.292,96.10,318.00,1,0,0
322,3.296,96.60,318.00,1,0,0
324,3.292,98.20,324.00,1,0,0
327,3.292,98.60,319.00,1,0,0
329,3.292,95.20,315.00,1,0,0
332,3.296,98.50,324.00,1,0,0
334,3.292,95.30,310.00,1,0,0
337,3.292,93.10,306.00,1,0,0
339,3.292,95.20,313.00,1,0,0
342,3.292,95.40,315.00,1,0,0
344,3.292,95.90,316.00,1,0,0
347,3.292,96.00,316.00,1,0,0
349,3.292,95.10,311.00,1,0,0
362,3.292,95.10,315.00,1,0,0
364,3.292,95.10,313.00,1,0,0
367,3.292,95.10,313.00,1,0,0
369,3.292,94.80,311.00,1,0,0
372,3.292,94.80,311.00,1,0,0
374,3.292,94.90,311.00,1,0,0
377,3.296,87.90,290.00,1,0,0
379,3.292,95.20,315.00,1,0,0
382,3.292,95.30,313.00,1,0,0
384,3.292,95.30,313.00,1,0,0
387,3.292,95.00,313.00,1,0,0
389,3.292,95.10,313.00,1,0,0
391,3.292,95.30,313.00,1,0,0
394,3.292,95.10,324.00,1,0,0
396,3.284,95.20,313.00,1,0,0
399,3.292,95.10,313.00,1,0,0
401,3.292,96.30,315.00,1,0,0
404,3.292,95.00,313.00,1,0,0
406,3.292,94.70,311.00,1,0,0
419,3.292,94.90,313.00,1,0,0
421,3.292,94.70,311.00,1,0,0
424,3.292,94.10,315.00,1,0,0
426,3.292,95.10,313.00,1,0,0
429,3.292,95.10,313.00,1,0,0
431,3.292,95.20,313.00,1,0,0
434,3.292,95.60,315.00,1,0,0
436,3.292,94.80,311.00,1,0,0
439,3.292,89.30,298.00,1,0,0
441,3.292,95.10,313.00,1,0,0
444,3.292,95.60,315.00,1,0,0
446,3.292,95.90,315.00,1,0,0
449,3.292,96.20,316.00,1,0,0
451,3.288,94.70,311.00,1,0,0
454,3.292,95.40,311.00,1,0,0
456,3.280,94.80,311.00,1,0,0
458,3.292,92.50,305.00,1,0,0
461,3.292,95.10,313.00,1,0,0
463,3.292,95.10,313.00,1,0,0
476,3.280,95.50,324.00,1,0,0
478,3.296,87.10,287.00,1,0,0
481,3.292,95.40,315.00,1,0,0
483,3.292,95.30,313.00,1,0,0
486,3.292,97.60,321.00,1,0,0
488,3.292,95.00,313.00,1,0,0
491,3.292,94.80,328.00,1,0,0
493,3.292,95.80,315.00,1,0,0
496,3.280,95.20,313.00,1,0,0
498,3.296,95.30,315.00,1,0,0
501,3.292,95.40,315.00,1,0,0
503,3.292,98.40,324.00,1,0,0
506,3.292,98.40,324.00,1,0,0
508,3.296,96.20,318.00,1,0,0
511,3.292,95.40,315.00,1,0,0
513,3.292,95.80,313.00,1,0,0
516,3.292,95.50,315.00,1,0,0
518,3.292,95.00,313.00,1,0,0
520,3.292,94.70,313.00,1,0,0
533,3.292,95.10,313.00,1,0,0
536,3.292,114.90,311.00,1,0,0
538,3.292,94.70,311.00,1,0,0
541,3.292,89.20,293.00,1,0,0
543,3.292,95.60,315.00,1,0,0
545,3.292,96.00,316.00,1,0,0
548,3.292,95.80,315.00,1,0,0
550,3.292,95.70,315.00,1,0,0
553,3.292,95.70,315.00,1,0,0
555,3.288,95.70,315.00,1,0,0
558,3.292,95.70,316.00,1,0,0
560,3.292,95.80,315.00,1,0,0
563,3.292,95.30,313.00,1,0,0
565,3.292,96.30,315.00,1,0,0
568,3.292,96.20,316.00,1,0,0
570,3.292,95.30,313.00,1,0,0
573,3.292,95.40,313.00,1,0,0
575,3.280,95.30,315.00,1,0,0
578,3.292,95.50,315.00,1,0,0
590,3.292,94.90,313.00,1,0,0
593,3.296,98.90,326.00,1,0,0
595,3.292,101.70,315.00,1,0,0
598,3.284,95.40,315.00,1,0,0
600,3.292,97.90,323.00,1,0,0
603,3.296,98.30,318.00,1,0,0
605,3.292,94.90,313.00,1,0,0
608,3.292,95.10,313.00,1,0,0
610,3.292,95.40,313.00,1,0,0
613,3.292,95.50,315.00,1,0,0
615,3.292,103.30,341.00,1,0,0
617,3.292,95.20,311.00,1,0,0
620,3.292,94.80,311.00,1,0,0
622,3.292,95.30,313.00,1,0,0
625,3.292,95.10,313.00,1,0,0
627,3.292,96.80,318.00,1,0,0
630,3.292,95.30,313.00,1,0,0
632,3.292,95.30,324.00,1,0,0
645,3.292,95.20,313.00,1,0,0
647,3.292,95.80,315.00,1,0,0
650,3.292,95.70,315.00,1,0,0
652,3.292,98.50,324.00,1,0,0
655,3.292,95.70,377.00,1,0,0
657,3.296,98.40,324.00,1,0,0
660,3.296,98.50,324.00,1,0,0
662,3.292,95.40,313.00,1,0,0
665,3.292,92.10,303.00,1,0,0
667,3.292,98.40,324.00,1,0,0
670,3.292,98.90,318.00,1,0,0
672,3.296,98.30,324.00,1,0,0
675,3.292,97.40,319.00,1,0,0
677,3.292,95.50,323.00,1,0,0
680,3.292,99.00,326.00,1,0,0
682,3.292,95.00,313.00,1,0,0
684,3.292,87.30,313.00,1,0,0
687,3.292,95.00,313.00,1,0,0
689,3.292,94.80,313.00,1,0,0
702,3.292,94.90,313.00,1,0,0
705,3.292,94.90,313.00,1,0,0
707,3.292,95.00,315.00,1,0,0
709,3.292,93.50,308.00,1,0,0
712,3.296,95.40,315.00,1,0,0
714,3.296,98.70,338.00,1,0,0
717,3.284,95.10,313.00,1,0,0
719,3.292,95.00,313.00,1,0,0
722,3.292,95.00,311.00,1,0,0
724,3.292,95.30,313.00,1,0,0
727,3.292,95.60,315.00,1,0,0
729,3.292,95.90,315.00,1,0,0
732,3.292,98.70,324.00,1,0,0
734,3.292,98.90,324.00,1,0,0
737,3.280,94.90,313.00,1,0,0
739,3.292,95.40,315.00,1,0,0
742,3.296,99.10,326.00,1,0,0
744,3.292,96.80,295.00,1,0,0
747,3.292,95.50,315.00,1,0,0
759,3.292,95.50,315.00,1,0,0
762,3.292,95.40,315.00,1,0,0
764,3.296,99.00,326.00,1,0,0
767,3.292,94.80,311.00,1,0,0
769,3.292,98.60,324.00,1,0,0
772,3.296,92.50,305.00,1,0,0
774,3.292,95.80,328.00,1,0,0
776,3.284,95.50,315.00,1,0,0
779,3.292,95.70,315.00,1,0,0
781,3.292,94.80,321.00,1,0,0
784,3.292,94.80,311.00,1,0,0
786,3.292,87.40,288.00,1,0,0
789,3.292,94.80,315.00,1,0,0
791,3.292,95.30,313.00,1,0,0
794,3.292,95.00,313.00,1,0,0
796,3.292,99.40,329.00,1,0,0
799,3.296,97.80,323.00,1,0,0
801,3.292,95.60,315.00,1,0,0
804,3.292,94.80,311.00,1,0,0
816,3.292,97.40,321.00,1,0,0
819,3.292,94.90,311.00,1,0,0
821,3.292,95.50,315.00,1,0,0
824,3.292,95.10,313.00,1,0,0
826,3.292,95.20,324.00,1,0,0
829,3.296,95.30,313.00,1,0,0
831,3.292,94.80,311.00,1,0,0
834,3.292,95.10,311.00,1,0,0
836,3.280,94.80,311.00,1,0,0
839,3.292,95.20,313.00,1,0,0
841,3.292,95.30,323.00,1,0,0
843,3.296,95.50,315.00,1,0,0
846,3.292,95.10,313.00,1,0,0
848,3.292,88.90,306.00,1,0,0
851,3.292,95.40,315.00,1,0,0
853,3.292,95.60,315.00,1,0,0
856,3.280,98.60,313.00,1,0,0
858,3.280,95.90,316.00,1,0,0
861,3.292,95.50,315.00,1,0,0
873,3.292,95.10,313.00,1,0,0
876,3.284,95.30,313.00,1,0,0
878,3.292,95.10,313.00,1,0,0
881,3.292,94.90,313.00,1,0,0
883,3.292,94.80,311.00,1,0,0
