timestamp_ms,voltage_V,current_mA,power_mW,marker_ble,marker_wifi,marker_sleep
0,3.336,30.70,103.00,1,0,0
2,3.336,30.60,102.00,1,0,0
5,3.336,30.70,103.00,1,0,0
7,3.332,30.70,103.00,1,0,0
10,3.336,30.70,103.00,1,0,0
12,3.336,30.80,103.00,1,0,0
14,3.336,30.80,103.00,1,0,0
17,3.336,30.60,103.00,1,0,0
19,3.336,30.60,102.00,1,0,0
22,3.336,30.60,102.00,1,0,0
24,3.336,30.70,103.00,1,0,0
27,3.336,30.70,103.00,1,0,0
29,3.336,30.70,103.00,1,0,0
32,3.336,30.70,103.00,1,0,0
34,3.336,30.70,103.00,1,0,0
37,3.336,30.70,103.00,1,0,0
39,3.336,30.80,103.00,1,0,0
42,3.336,30.80,103.00,1,0,0
44,3.336,30.70,103.00,1,0,0
46,3.336,30.70,103.00,1,0,0
49,3.336,30.60,102.00,1,0,0
51,3.336,30.70,103.00,1,0,0
54,3.336,30.60,102.00,1,0,0
67,3.336,30.70,103.00,1,0,0
69,3.336,30.60,102.00,1,0,0
71,3.336,30.60,103.00,1,0,0
74,3.336,30.70,103.00,1,0,0
76,3.336,30.70,103.00,1,0,0
79,3.336,30.70,103.00,1,0,0
81,3.336,30.60,102.00,1,0,0
84,3.336,30.60,102.00,1,0,0
86,3.336,30.60,103.00,1,0,0
89,3.336,30.70,103.00,1,0,0
91,3.336,30.80,103.00,1,0,0
94,3.336,30.70,103.00,1,0,0
96,3.336,97.30,321.00,1,0,0
99,3.292,96.80,318.00,1,0,0
101,3.292,31.00,103.00,1,0,0
104,3.336,30.70,103.00,1,0,0
106,3.336,30.80,103.00,1,0,0
108,3.336,30.80,103.00,1,0,0
111,3.336,30.70,103.00,1,0,0
113,3.336,30.60,102.00,1,0,0
116,3.336,30.60,102.00,1,0,0
129,3.336,30.60,102.00,1,0,0
131,3.336,30.60,247.00,1,0,0
133,3.292,88.40,288.00,1,0,0
136,3.288,96.90,319.00,1,0,0
138,3.292,96.30,316.00,1,0,0
141,3.292,96.10,316.00,1,0,0
143,3.292,96.00,316.00,1,0,0
146,3.292,95.90,316.00,1,0,0
148,3.292,95.90,316.00,1,0,0
151,3.292,95.90,316.00,1,0,0
153,3.292,96.10,316.00,1,0,0
156,3.292,96.20,316.00,1,0,0
158,3.292,96.10,316.00,1,0,0
161,3.292,96.20,316.00,1,0,0
163,3.292,96.40,316.00,1,0,0
166,3.292,96.50,318.00,1,0,0
168,3.292,96.40,316.00,1,0,0
170,3.292,97.10,319.00,1,0,0
173,3.292,96.90,318.00,1,0,0
186,3.292,96.50,318.00,1,0,0
188,3.292,96.10,316.00,1,0,0
191,3.292,99.00,103.00,1,0,0
193,3.340,30.80,103.00,1,0,0
196,3.336,30.60,102.00,1,0,0
198,3.336,31.30,103.00,1,0,0
200,3.292,96.90,319.00,1,0,0
203,3.292,30.80,103.00,1,0,0
205,3.336,30.80,103.00,1,0,0
208,3.336,30.80,103.00,1,0,0
210,3.336,30.60,102.00,1,0,0
213,3.336,30.60,102.00,1,0,0
215,3.336,30.60,102.00,1,0,0
218,3.336,30.70,103.00,1,0,0
220,3.336,30.80,103.00,1,0,0
223,3.336,30.80,103.00,1,0,0
225,3.336,30.70,103.00,1,0,0
228,3.336,30.60,102.00,1,0,0
230,3.336,30.60,102.00,1,0,0
243,3.336,30.60,102.00,1,0,0
245,3.336,30.60,103.00,1,0,0
248,3.336,30.60,102.00,1,0,0
250,3.336,30.80,103.00,1,0,0
253,3.336,30.70,103.00,1,0,0
255,3.336,30.80,103.00,1,0,0
257,3.340,30.70,103.00,1,0,0
260,3.336,30.70,102.00,1,0,0
262,3.336,30.60,102.00,1,0,0
265,3.336,30.60,102.00,1,0,0
267,3.336,30.80,103.00,1,0,0
270,3.336,30.80,103.00,1,0,0
272,3.336,30.70,103.00,1,0,0
275,3.336,30.60,102.00,1,0,0
277,3.336,30.70,103.00,1,0,0
280,3.336,30.60,102.00,1,0,0
282,3.336,30.80,103.00,1,0,0
285,3.336,30.80,103.00,1,0,0
287,3.336,30.70,103.00,1,0,0
300,3.336,30.80,102.00,1,0,0
302,3.292,97.20,319.00,1,0,0
305,3.292,97.80,319.00,1,0,0
307,3.304,30.60,102.00,1,0,0
310,3.336,30.60,102.00,1,0,0
312,3.336,30.60,102.00,1,0,0
315,3.336,30.70,103.00,1,0,0
317,3.336,30.70,103.00,1,0,0
320,3.336,30.70,103.00,1,0,0
322,3.336,30.80,102.00,1,0,0
324,3.336,30.60,102.00,1,0,0
327,3.336,30.70,103.00,1,0,0
329,3.336,30.60,102.00,1,0,0
332,3.336,30.70,103.00,1,0,0
334,3.336,30.70,103.00,1,0,0
337,3.336,30.80,103.00,1,0,0
339,3.336,30.60,102.00,1,0,0
342,3.336,30.60,102.00,1,0,0
344,3.336,30.60,102.00,1,0,0
357,3.336,30.60,102.00,1,0,0
359,3.336,30.60,102.00,1,0,0
362,3.340,30.60,102.00,1,0,0
364,3.336,30.80,103.00,1,0,0
367,3.336,30.70,103.00,1,0,0
369,3.336,30.70,103.00,1,0,0
372,3.336,30.70,103.00,1,0,0
374,3.336,30.60,102.00,1,0,0
377,3.336,30.70,103.00,1,0,0
379,3.336,30.70,103.00,1,0,0
382,3.336,30.80,103.00,1,0,0
384,3.336,30.70,103.00,1,0,0
387,3.336,30.80,103.00,1,0,0
389,3.336,30.60,103.00,1,0,0
391,3.336,30.60,102.00,1,0,0
394,3.336,30.60,102.00,1,0,0
396,3.336,30.80,103.00,1,0,0
399,3.336,30.70,103.00,1,0,0
401,3.336,30.70,103.00,1,0,0
414,3.340,30.80,103.00,1,0,0
416,3.336,30.80,103.00,1,0,0
419,3.336,30.70,103.00,1,0,0
421,3.336,30.70,103.00,1,0,0
424,3.336,30.60,102.00,1,0,0
426,3.336,30.60,103.00,1,0,0
429,3.336,30.80,103.00,1,0,0
431,3.336,30.70,103.00,1,0,0
434,3.336,30.70,103.00,1,0,0
436,3.336,30.60,102.00,1,0,0
439,3.336,30.60,102.00,1,0,0
441,3.336,30.60,102.00,1,0,0
444,3.336,30.70,103.00,1,0,0
446,3.336,30.70,103.00,1,0,0
448,3.336,30.80,103.00,1,0,0
451,3.336,30.70,103.00,1,0,0
453,3.336,30.70,103.00,1,0,0
